reactants	product	scaffold	split
CO.O=C(O)c1cc(C(F)(F)F)ccc1Sc1ccccc1	COC(=O)c1cc(C(F)(F)F)ccc1Sc1ccccc1	c1ccc(Sc2ccccc2)cc1	dev
CC[C@H](C)[C@H](NC(=O)OC)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(N)Cc1ccc(-c2nccs2)cc1.COC(=O)N[C@H](C(=O)O)C(C)C	CC[C@H](C)[C@H](NC(=O)OC)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc1ccc(-c2nccs2)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)C	c1ccc(CCCCNCc2ccc(-c3nccs3)cc2)cc1	dev
C=CCc1c(F)c(F)c(CO)c(F)c1F.CC(C#N)=C[C@@H]1[C@@H](C(=O)O)C1(C)C	C=CCc1c(F)c(F)c(COC(=O)[C@@H]2[C@@H](C=C(C)C#N)C2(C)C)c(F)c1F	O=C(OCc1ccccc1)C1CC1	validation
CC(C)(C)c1cc(C(=O)O)cc(C(C)(C)C)c1O.O=[N+]([O-])c1ccccc1O	CC(C)(C)c1cc(C(=O)Oc2ccccc2[N+](=O)[O-])cc(C(C)(C)C)c1O	O=C(Oc1ccccc1)c1ccccc1	holdout
CO.Cc1ccc2c(c1)Cc1cc(C(=O)O)ccc1O2	COC(=O)c1ccc2c(c1)Cc1cc(C)ccc1O2	c1ccc2c(c1)Cc1ccccc1O2	dev
CC1=C(C(=O)O)C(c2cccc([N+](=O)[O-])c2)C(c2ccccn2)=C(C)N1.CCCCCCO	CCCCCCOC(=O)C1=C(C)NC(C)=C(c2ccccn2)C1c1cccc([N+](=O)[O-])c1	C1=CC(c2ccccc2)C(c2ccccn2)=CN1	holdout
CCO.COc1c(C(C)(C)CC(=O)C(=O)O)ccc(Cl)c1F	CCOC(=O)C(=O)CC(C)(C)c1ccc(Cl)c(F)c1OC	c1ccccc1	validation
CC(C)O.COc1ccc(CC(=O)O)cc1	COc1ccc(CC(=O)OC(C)C)cc1	c1ccccc1	validation
CO.Cc1sc(C(=O)O)cc1[N+](=O)[O-]	COC(=O)c1cc([N+](=O)[O-])c(C)s1	c1ccsc1	holdout
CC(=O)O[C@@H](C)C(=O)O.O=C(NCc1ccc(-c2cnco2)cc1)[C@@H]1C[C@@H](O)CN1	CC(=O)O[C@@H](C)C(=O)N1C[C@H](O)C[C@H]1C(=O)NCc1ccc(-c2cnco2)cc1	O=C(NCc1ccc(-c2cnco2)cc1)[C@@H]1CCCN1	holdout
CCCn1c(=O)c2nc(C(CC)c3ccc(NCC(=O)O)cc3)[nH]c2n(CCC)c1=O.CO	CCCn1c(=O)c2nc(C(CC)c3ccc(NCC(=O)OC)cc3)[nH]c2n(CCC)c1=O	O=c1[nH]c(=O)c2nc(Cc3ccccc3)[nH]c2[nH]1	dev
CCCCCCCCO.NCC(=O)CCC(=O)O	CCCCCCCCOC(=O)CCC(=O)CN	CCCCCCCCOC(=O)CCC(=O)CN	validation
CCO.Cc1ccc(C(=O)O)cc1O	CCOC(=O)c1ccc(C)c(O)c1	c1ccccc1	validation
CO.Nc1ccc(C(=O)c2ccccc2C(=O)O)cc1[N+](=O)[O-]	COC(=O)c1ccccc1C(=O)c1ccc(N)c([N+](=O)[O-])c1	O=C(c1ccccc1)c1ccccc1	holdout
CC(C)(C)c1cc(C(=O)O)cc(I)c1O.CO	COC(=O)c1cc(I)c(O)c(C(C)(C)C)c1	c1ccccc1	validation
C=CCO.CC(C(=O)O)c1ccc2c(c1)SCC1CCCCC1C2=O	C=CCOC(=O)C(C)c1ccc2c(c1)SCC1CCCCC1C2=O	O=C1c2ccccc2SCC2CCCCC12	dev
CCO.O=C(O)Cc1oc2cccc-2cc1-c1ccccc1	CCOC(=O)Cc1oc2cccc-2cc1-c1ccccc1	c1ccc(-c2coc3cccc-3c2)cc1	holdout
