reactants	product	scaffold	split
O=C1OC(=O)C2C3C=CC(C3)C12	O=C1OC(=O)C2C3CCC(C3)C12	O=C1OC(=O)C2C3CCC(C3)C12	dev
O=C1C=CC(=O)c2ccccc21	O=C1CCC(=O)c2ccccc21	O=C1CCC(=O)c2ccccc21	holdout
COC(=O)C1=Cc2cccc3ccn(c23)C1	COC(=O)C1Cc2cccc3ccn(c23)C1	c1cc2c3c(c1)ccn3CCC2	holdout
CC(=O)N(C1=CC(C)N(Cc2ccccc2)c2ccccc21)c1ccccc1	CC(=O)N(c1ccccc1)C1CC(C)N(Cc2ccccc2)c2ccccc21	c1ccc(CN2CCC(Nc3ccccc3)c3ccccc32)cc1	validation
COc1ccc2c(c1Cl)C/C(=C\c1ccc(SC(F)(F)F)cc1)C2=O	COc1ccc2c(c1Cl)CC(Cc1ccc(SC(F)(F)F)cc1)C2=O	O=C1c2ccccc2CC1Cc1ccccc1	dev
C=CCC(C#N)(CC=C)c1cccc(C)c1	Cc1cccc(C2(C#N)CC=CC2)c1	C1=CCC(c2ccccc2)C1	dev
O=C(N1CC=C(c2cnc(-c3ccc4c(c3)CC3CCC(C4)C34CN(CC(F)(F)F)S(=O)(=O)N4)s2)CC1)C(F)(F)F	O=C(N1CCC(c2cnc(-c3ccc4c(c3)CC3CCC(C4)C34CN(CC(F)(F)F)S(=O)(=O)N4)s2)CC1)C(F)(F)F	O=S1(=O)NCC2(N1)C1CCC2Cc2cc(-c3ncc(C4CCNCC4)s3)ccc2C1	validation
C=C(C)c1cccc(C(=O)OCC)n1	CCOC(=O)c1cccc(C(C)C)n1	c1ccncc1	dev
CCOC(=O)/C=C/c1cn(-c2ccc(Cl)cn2)nc1C(C)C	CCOC(=O)CCc1cn(-c2ccc(Cl)cn2)nc1C(C)C	c1ccc(-n2cccn2)nc1	validation
O=C1CCCN1CC#CCN1CCCC1	O=C1CCCN1CCCCN1CCCC1	O=C1CCCN1CCCCN1CCCC1	dev
CCCCCC(=CCCCCCCCN(C)C)CCCCC	CCCCCC(CCCCC)CCCCCCCCN(C)C	CCCCCC(CCCCC)CCCCCCCCN(C)C	dev
CCOC(=O)C(=CN[C@@H](C(C)C)C(C)(C)O[SiH2]C(C)(C)C)C(=O)c1cc(Cc2cccc(Cl)c2F)nc(Cl)c1Cl	CCOC(=O)c1cn([C@@H](C(C)C)C(C)(C)O[SiH2]C(C)(C)C)c2c(Cl)nc(Cc3cccc(Cl)c3F)cc2c1=O	O=c1cc[nH]c2cnc(Cc3ccccc3)cc12	dev
CCOC(=O)/C=C/c1cc(C(C)C)nn1Cc1ccc(C(F)(F)F)cc1Cl	CCOC(=O)CCc1cc(C(C)C)nn1Cc1ccc(C(F)(F)F)cc1Cl	c1ccc(Cn2cccn2)cc1	holdout
O=C(C=Cc1ccccc1)c1cc(Cl)ccc1O	O=C1CC(c2ccccc2)Oc2ccc(Cl)cc21	O=C1CC(c2ccccc2)Oc2ccccc21	validation
CC[C@]12CCC3=C(CCc4cc(O)ccc43)C1=CC[C@@H]2O	CC[C@]12CCC3=C(CCc4cc(O)ccc43)[C@@H]1CC[C@@H]2O	c1ccc2c(c1)CCC1=C2CCC2CCC[C@@H]12	holdout
O=[N+]([O-])C=Cc1ccc2c(c1)c1cc(Cl)cnc1n2S(=O)(=O)c1ccccc1	O=[N+]([O-])CCc1ccc2c(c1)c1cc(Cl)cnc1n2S(=O)(=O)c1ccccc1	O=S(=O)(c1ccccc1)n1c2ccccc2c2cccnc21	holdout
CC1(C)O[C@H]2[C@H](n3cnc4c(N)ncc(F)c43)C(F)=C[C@H]2O1	CC1(C)O[C@H]2[C@H](n3cnc4c(N)ncc(F)c43)C(F)C[C@H]2O1	c1cc2c(cn1)ncn2[C@@H]1CC[C@H]2OCO[C@@H]12	dev
C=CCc1cccc2c1CCC2=O	CCCc1cccc2c1CCC2=O	O=C1CCc2ccccc21	validation
C(=C1c2ccccc2Sc2ccccc21)c1ccccc1	c1ccc(CC2c3ccccc3Sc3ccccc32)cc1	c1ccc(CC2c3ccccc3Sc3ccccc32)cc1	dev
COC(=O)c1cc(C2=CCN(C(=O)OC(C)(C)C)CC2)ccc1F	COC(=O)c1cc(C2CCN(C(=O)OC(C)(C)C)CC2)ccc1F	c1ccc(C2CCNCC2)cc1	validation
CC(C)(C)OC(=O)N1CCC(=Cc2cccc(Oc3ccc(Br)cn3)c2)CC1	O=C(O)C(F)(F)F	O=C(O)C(F)(F)F	dev
CC(C)(C)OC(=O)C=Cc1cccc(Br)c1	CC(C)(C)OC(=O)CCc1cccc(Br)c1	c1ccccc1	validation
CCC(=CCO[C@@H]1CCC[C@H](OCc2nc(-c3ccc(F)cc3)oc2C)C1)C(=O)O	CCC(CCO[C@@H]1CCC[C@H](OCc2nc(-c3ccc(F)cc3)oc2C)C1)C(=O)O	c1ccc(-c2nc(COC3CCCCC3)co2)cc1	validation
Cc1ccc(C(=O)NC2CC2)cc1-c1ccc2c(C3=CCN(C)CC3)nncc2c1	Cc1ccc(C(=O)NC2CC2)cc1-c1ccc2c(C3CCN(C)CC3)nncc2c1	O=C(NC1CC1)c1cccc(-c2ccc3c(C4CCNCC4)nncc3c2)c1	dev
CC/C=C/[C@@H](CC(=O)OC)c1cccc(O)c1	CCCC[C@H](CC(=O)OC)c1cccc(O)c1	c1ccccc1	validation
CCOC(=O)c1cn(C2CC2)c2c(C#CC[C@@H]3CCCN3C(=O)OC(C)(C)C)c(F)c(F)cc2c1=O	CCOC(=O)c1cn(C2CC2)c2c(CCC[C@@H]3CCCN3C(=O)OC(C)(C)C)c(F)c(F)cc2c1=O	O=c1ccn(C2CC2)c2c(CCC[C@@H]3CCCN3)cccc12	dev
