row_index	kind	split	category	ambiguous_site	reactants	product	detail
0	esterification	dev	validity_or_conservation_failure	false	CO.O=C(O)c1cc(C(F)(F)F)ccc1Sc1ccccc1	COC(=O)c1cc(C(F)(F)F)ccc1Sc1ccccc1	atom 13 has element S outside the allowed set ["H", "C", "N", "O", "F"]
1	esterification	dev	representation_or_normalization_failure	false	CC[C@H](C)[C@H](NC(=O)OC)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(N)Cc1ccc(-c2nccs2)cc1.COC(=O)N[C@H](C(=O)O)C(C)C	CC[C@H](C)[C@H](NC(=O)OC)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc1ccc(-c2nccs2)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)C	reactant 'CC[C@H](C)[C@H](NC(=O)OC)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(N)Cc1ccc(-c2nccs2)cc1' failed to parse: SMILES parse error: unsupported SMILES feature '@' (v0.1 scope: no stereo/disconnected/isotope)
2	esterification	validation	representation_or_normalization_failure	false	C=CCc1c(F)c(F)c(CO)c(F)c1F.CC(C#N)=C[C@@H]1[C@@H](C(=O)O)C1(C)C	C=CCc1c(F)c(F)c(COC(=O)[C@@H]2[C@@H](C=C(C)C#N)C2(C)C)c(F)c1F	reactant 'CC(C#N)=C[C@@H]1[C@@H](C(=O)O)C1(C)C' failed to parse: SMILES parse error: unsupported SMILES feature '@' (v0.1 scope: no stereo/disconnected/isotope)
3	esterification	holdout	policy_or_hazard_rejection	true	CC(C)(C)c1cc(C(=O)O)cc(C(C)(C)C)c1O.O=[N+]([O-])c1ccccc1O	CC(C)(C)c1cc(C(=O)Oc2ccccc2[N+](=O)[O-])cc(C(C)(C)C)c1O	reactant flagged by hazard heuristics: HazardScore { nitro_count: 1, nitro_density: 0.1, peroxide_count: 0, unsaturation_ratio: 0.5 }
4	esterification	dev	certified_exact_transformation	false	CO.Cc1ccc2c(c1)Cc1cc(C(=O)O)ccc1O2	COC(=O)c1ccc2c(c1)Cc1cc(C)ccc1O2	certified
5	esterification	holdout	policy_or_hazard_rejection	true	CC1=C(C(=O)O)C(c2cccc([N+](=O)[O-])c2)C(c2ccccn2)=C(C)N1.CCCCCCO	CCCCCCOC(=O)C1=C(C)NC(C)=C(c2ccccn2)C1c1cccc([N+](=O)[O-])c1	reactant flagged by hazard heuristics: HazardScore { nitro_count: 1, nitro_density: 0.038461538461538464, peroxide_count: 0, unsaturation_ratio: 0.5 }
6	esterification	validation	validity_or_conservation_failure	false	CCO.COc1c(C(C)(C)CC(=O)C(=O)O)ccc(Cl)c1F	CCOC(=O)C(=O)CC(C)(C)c1ccc(Cl)c(F)c1OC	atom 16 has element Cl outside the allowed set ["H", "C", "N", "O", "F"]
7	esterification	validation	certified_exact_transformation	false	CC(C)O.COc1ccc(CC(=O)O)cc1	COc1ccc(CC(=O)OC(C)C)cc1	certified
8	esterification	holdout	validity_or_conservation_failure	false	CO.Cc1sc(C(=O)O)cc1[N+](=O)[O-]	COC(=O)c1cc([N+](=O)[O-])c(C)s1	atom 2 has element S outside the allowed set ["H", "C", "N", "O", "F"]
9	esterification	holdout	representation_or_normalization_failure	false	CC(=O)O[C@@H](C)C(=O)O.O=C(NCc1ccc(-c2cnco2)cc1)[C@@H]1C[C@@H](O)CN1	CC(=O)O[C@@H](C)C(=O)N1C[C@H](O)C[C@H]1C(=O)NCc1ccc(-c2cnco2)cc1	reactant 'CC(=O)O[C@@H](C)C(=O)O' failed to parse: SMILES parse error: unsupported SMILES feature '@' (v0.1 scope: no stereo/disconnected/isotope)
10	esterification	dev	certified_exact_transformation	true	CCCn1c(=O)c2nc(C(CC)c3ccc(NCC(=O)O)cc3)[nH]c2n(CCC)c1=O.CO	CCCn1c(=O)c2nc(C(CC)c3ccc(NCC(=O)OC)cc3)[nH]c2n(CCC)c1=O	certified
11	esterification	validation	certified_exact_transformation	true	CCCCCCCCO.NCC(=O)CCC(=O)O	CCCCCCCCOC(=O)CCC(=O)CN	certified
12	esterification	validation	certified_exact_transformation	true	CCO.Cc1ccc(C(=O)O)cc1O	CCOC(=O)c1ccc(C)c(O)c1	certified
13	esterification	holdout	policy_or_hazard_rejection	true	CO.Nc1ccc(C(=O)c2ccccc2C(=O)O)cc1[N+](=O)[O-]	COC(=O)c1ccccc1C(=O)c1ccc(N)c([N+](=O)[O-])c1	reactant flagged by hazard heuristics: HazardScore { nitro_count: 1, nitro_density: 0.047619047619047616, peroxide_count: 0, unsaturation_ratio: 0.5238095238095238 }
14	esterification	validation	validity_or_conservation_failure	true	CC(C)(C)c1cc(C(=O)O)cc(I)c1O.CO	COC(=O)c1cc(I)c(O)c(C(C)(C)C)c1	atom 12 has element I outside the allowed set ["H", "C", "N", "O", "F"]
15	esterification	dev	validity_or_conservation_failure	false	C=CCO.CC(C(=O)O)c1ccc2c(c1)SCC1CCCCC1C2=O	C=CCOC(=O)C(C)c1ccc2c(c1)SCC1CCCCC1C2=O	atom 11 has element S outside the allowed set ["H", "C", "N", "O", "F"]
16	esterification	holdout	certified_exact_transformation	false	CCO.O=C(O)Cc1oc2cccc-2cc1-c1ccccc1	CCOC(=O)Cc1oc2cccc-2cc1-c1ccccc1	certified
17	esterification	holdout	representation_or_normalization_failure	false	CC(O)CN.C[C@@H](NC(=O)OC(C)(C)C)C(=O)O	CC(O)CNC(=O)[C@@H](C)NC(=O)OC(C)(C)C	reactant 'C[C@@H](NC(=O)OC(C)(C)C)C(=O)O' failed to parse: SMILES parse error: unsupported SMILES feature '@' (v0.1 scope: no stereo/disconnected/isotope)
18	esterification	dev	validity_or_conservation_failure	false	CC(C)(C)OC(=O)C(C)(C)Oc1ccc(C(=O)O)cc1.OCc1cn(Cc2ccc(SC(F)(F)F)cc2)nn1	CC(C)(C)OC(=O)C(C)(C)Oc1ccc(C(=O)OCc2cn(Cc3ccc(SC(F)(F)F)cc3)nn2)cc1	atom 10 has element S outside the allowed set ["H", "C", "N", "O", "F"]
