step,position_error,free_energy,tau_factor
0,0.000000,1.201005,1.0000
1,0.000003,0.783293,1.0000
2,0.000011,0.783293,1.0000
3,0.000023,0.783293,1.0000
4,0.000039,0.783293,1.0000
5,0.000058,0.783293,1.0000
6,0.000080,0.783293,1.0000
7,0.000104,0.783293,1.0000
8,0.000130,0.783293,1.0000
9,0.000157,0.783293,1.0000
10,0.000186,0.783293,1.0000
11,0.000216,0.783293,1.0000
12,0.000246,0.783293,1.0000
13,0.000278,0.783293,1.0000
14,0.000310,0.783293,1.0000
15,0.000342,0.783293,1.0000
16,0.000375,0.783293,1.0000
17,0.000408,0.783293,1.0000
18,0.000442,0.783293,1.0000
19,0.000475,0.783293,1.0000
20,0.000509,0.783293,1.0000
21,0.000542,0.690089,1.0000
22,0.000576,0.690089,1.0000
23,0.000610,0.690089,1.0000
24,0.000643,0.690089,1.0000
25,0.000676,0.690089,1.0000
26,0.000710,0.690089,1.0000
27,0.000743,0.690089,1.0000
28,0.000776,0.690089,1.0000
29,0.000809,0.690089,1.0000
30,0.000841,0.690089,1.0000
31,0.000874,0.690089,1.0000
32,0.000906,0.690089,1.0000
33,0.000938,0.690089,1.0000
34,0.000970,0.690089,1.0000
35,0.001002,0.690089,1.0000
36,0.001034,0.690089,1.0000
37,0.001065,0.690089,1.0000
38,0.001097,0.690089,1.0000
39,0.001128,0.690089,1.0000
40,0.001158,0.690089,1.0000
41,0.001189,0.598036,1.0000
42,0.001219,0.598036,1.0000
43,0.001250,0.598036,1.0000
44,0.001280,0.598036,1.0000
45,0.001310,0.598036,1.0000
46,0.001339,0.598036,1.0000
47,0.001369,0.598036,1.0000
48,0.001398,0.598036,1.0000
49,0.001427,0.598036,1.0000
50,0.001455,0.598036,1.0000
51,0.001484,0.598036,1.0000
52,0.001512,0.598036,1.0000
53,0.001540,0.598036,1.0000
54,0.001568,0.598036,1.0000
55,0.001596,0.598036,1.0000
56,0.001623,0.598036,1.0000
57,0.001650,0.598036,1.0000
58,0.001677,0.598036,1.0000
59,0.001703,0.598036,1.0000
60,0.001730,0.598036,1.0000
61,0.001756,0.577880,1.0000
62,0.001782,0.577880,1.0000
63,0.001807,0.577880,1.0000
64,0.001833,0.577880,1.0000
65,0.001858,0.577880,1.0000
66,0.001883,0.577880,1.0000
67,0.001908,0.577880,1.0000
68,0.001932,0.577880,1.0000
69,0.001956,0.577880,1.0000
70,0.001980,0.577880,1.0000
71,0.002004,0.577880,1.0000
72,0.002028,0.577880,1.0000
73,0.002051,0.577880,1.0000
74,0.002074,0.577880,1.0000
75,0.002097,0.577880,1.0000
76,0.002120,0.577880,1.0000
77,0.002142,0.577880,1.0000
78,0.002164,0.577880,1.0000
79,0.002186,0.577880,1.0000
80,0.002208,0.577880,1.0000
81,0.002229,0.571511,1.0000
82,0.002251,0.571511,1.0000
83,0.002272,0.571511,1.0000
84,0.002292,0.571511,1.0000
85,0.002313,0.571511,1.0000
86,0.002333,0.571511,1.0000
87,0.002353,0.571511,1.0000
88,0.002373,0.571511,1.0000
89,0.002393,0.571511,1.0000
90,0.002412,0.571511,1.0000
91,0.002432,0.571511,1.0000
92,0.002451,0.571511,1.0000
93,0.002469,0.571511,1.0000
94,0.002488,0.571511,1.0000
95,0.002506,0.571511,1.0000
96,0.002524,0.571511,1.0000
97,0.002542,0.571511,1.0000
98,0.002560,0.571511,1.0000
99,0.002578,0.571511,1.0000
100,0.002595,0.571511,1.0000
101,0.002612,0.566541,1.0000
102,0.002629,0.566541,1.0000
103,0.002645,0.566541,1.0000
104,0.002662,0.566541,1.0000
105,0.002678,0.566541,1.0000
106,0.002694,0.566541,1.0000
107,0.002710,0.566541,1.0000
108,0.002725,0.566541,1.0000
109,0.002741,0.566541,1.0000
110,0.002756,0.566541,1.0000
111,0.002771,0.566541,1.0000
112,0.002786,0.566541,1.0000
113,0.002800,0.566541,1.0000
114,0.002815,0.566541,1.0000
115,0.002829,0.566541,1.0000
116,0.002843,0.566541,1.0000
117,0.002856,0.566541,1.0000
118,0.002870,0.566541,1.0000
119,0.002883,0.566541,1.0000
120,0.002897,0.566541,1.0000
121,0.002909,0.563353,1.0000
122,0.002922,0.563353,1.0000
123,0.002935,0.563353,1.0000
124,0.002947,0.563353,1.0000
125,0.002959,0.563353,1.0000
126,0.002971,0.563353,1.0000
127,0.002983,0.563353,1.0000
128,0.002995,0.563353,1.0000
129,0.003006,0.563353,1.0000
130,0.003017,0.563353,1.0000
131,0.003028,0.563353,1.0000
132,0.003039,0.563353,1.0000
133,0.003050,0.563353,1.0000
134,0.003060,0.563353,1.0000
135,0.003070,0.563353,1.0000
136,0.003080,0.563353,1.0000
137,0.003090,0.563353,1.0000
138,0.003100,0.563353,1.0000
139,0.003110,0.563353,1.0000
140,0.003119,0.563353,1.0000
141,0.003128,0.561462,1.0000
142,0.003137,0.561462,1.0000
143,0.003146,0.561462,1.0000
144,0.003155,0.561462,1.0000
145,0.003163,0.561462,1.0000
146,0.003171,0.561462,1.0000
147,0.003179,0.561462,1.0000
148,0.003187,0.561462,1.0000
149,0.003195,0.561462,1.0000
150,0.003203,0.561462,1.0000
151,0.003210,0.561462,1.0000
152,0.003217,0.561462,1.0000
153,0.003224,0.561462,1.0000
154,0.003231,0.561462,1.0000
155,0.003238,0.561462,1.0000
156,0.003244,0.561462,1.0000
157,0.003251,0.561462,1.0000
158,0.003257,0.561462,1.0000
159,0.003263,0.561462,1.0000
160,0.003269,0.561462,1.0000
161,0.003274,0.560124,1.0000
162,0.003280,0.560124,1.0000
163,0.003285,0.560124,1.0000
164,0.003290,0.560124,1.0000
165,0.003295,0.560124,1.0000
166,0.003300,0.560124,1.0000
167,0.003305,0.560124,1.0000
168,0.003310,0.560124,1.0000
169,0.003314,0.560124,1.0000
170,0.003318,0.560124,1.0000
171,0.003322,0.560124,1.0000
172,0.003326,0.560124,1.0000
173,0.003330,0.560124,1.0000
174,0.003334,0.560124,1.0000
175,0.003337,0.560124,1.0000
176,0.003340,0.560124,1.0000
177,0.003343,0.560124,1.0000
178,0.003346,0.560124,1.0000
179,0.003349,0.560124,1.0000
180,0.003352,0.560124,1.0000
181,0.003354,0.558998,1.0000
182,0.003357,0.558998,1.0000
183,0.003359,0.558998,1.0000
184,0.003361,0.558998,1.0000
185,0.003363,0.558998,1.0000
186,0.003365,0.558998,1.0000
187,0.003366,0.558998,1.0000
188,0.003368,0.558998,1.0000
189,0.003369,0.558998,1.0000
190,0.003371,0.558998,1.0000
191,0.003372,0.558998,1.0000
192,0.003373,0.558998,1.0000
193,0.003373,0.558998,1.0000
194,0.003374,0.558998,1.0000
195,0.003374,0.558998,1.0000
196,0.003375,0.558998,1.0000
197,0.003375,0.558998,1.0000
198,0.003375,0.558998,1.0000
199,0.003375,0.558998,1.0000
200,0.003375,0.558998,1.0000
201,0.003375,0.557900,1.0000
202,0.003374,0.557900,1.0000
203,0.003374,0.557900,1.0000
204,0.003373,0.557900,1.0000
205,0.003372,0.557900,1.0000
206,0.003371,0.557900,1.0000
207,0.003370,0.557900,1.0000
208,0.003369,0.557900,1.0000
209,0.003367,0.557900,1.0000
210,0.003366,0.557900,1.0000
211,0.003364,0.557900,1.0000
212,0.003362,0.557900,1.0000
213,0.003360,0.557900,1.0000
214,0.003358,0.557900,1.0000
215,0.003356,0.557900,1.0000
216,0.003354,0.557900,1.0000
217,0.003352,0.557900,1.0000
218,0.003349,0.557900,1.0000
219,0.003346,0.557900,1.0000
220,0.003344,0.557900,1.0000
221,0.003341,0.556608,1.0000
222,0.003338,0.556608,1.0000
223,0.003335,0.556608,1.0000
224,0.003331,0.556608,1.0000
225,0.003328,0.556608,1.0000
226,0.003325,0.556608,1.0000
227,0.003321,0.556608,1.0000
228,0.003317,0.556608,1.0000
229,0.003314,0.556608,1.0000
230,0.003310,0.556608,1.0000
231,0.003306,0.556608,1.0000
232,0.003301,0.556608,1.0000
233,0.003297,0.556608,1.0000
234,0.003293,0.556608,1.0000
235,0.003288,0.556608,1.0000
236,0.003284,0.556608,1.0000
237,0.003279,0.556608,1.0000
238,0.003274,0.556608,1.0000
239,0.003270,0.556608,1.0000
240,0.003265,0.556608,1.0000
241,0.003260,0.555396,1.0000
242,0.003254,0.555396,1.0000
243,0.003249,0.555396,1.0000
244,0.003244,0.555396,1.0000
245,0.003238,0.555396,1.0000
246,0.003233,0.555396,1.0000
247,0.003227,0.555396,1.0000
248,0.003221,0.555396,1.0000
249,0.003215,0.555396,1.0000
250,0.003209,0.555396,1.0000
251,0.000011,0.555396,1.0000
252,0.000029,0.555396,1.0000
253,0.000052,0.555396,1.0000
254,0.000080,0.555396,1.0000
255,0.000111,0.555396,1.0000
256,0.000146,0.555396,1.0000
257,0.000183,0.555396,1.0000
258,0.000223,0.555396,1.0000
259,0.000265,0.555396,1.0000
260,0.000309,0.555396,1.0000
261,0.000354,0.551146,1.0000
262,0.000401,0.551146,1.0000
263,0.000449,0.551146,1.0000
264,0.000498,0.551146,1.0000
265,0.000549,0.551146,1.0000
266,0.000599,0.551146,1.0000
267,0.000651,0.551146,1.0000
268,0.000703,0.551146,1.0000
269,0.000755,0.551146,1.0000
270,0.000808,0.551146,1.0000
271,0.000861,0.551146,1.0000
272,0.000915,0.551146,1.0000
273,0.000968,0.551146,1.0000
274,0.001022,0.551146,1.0000
275,0.001076,0.551146,1.0000
276,0.001130,0.551146,1.0000
277,0.001184,0.551146,1.0000
278,0.001237,0.551146,1.0000
279,0.001291,0.551146,1.0000
280,0.001345,0.551146,1.0000
281,0.001398,0.551040,1.0000
282,0.001452,0.551040,1.0000
283,0.001505,0.551040,1.0000
284,0.001558,0.551040,1.0000
285,0.001611,0.551040,1.0000
286,0.001663,0.551040,1.0000
287,0.001716,0.551040,1.0000
288,0.001768,0.551040,1.0000
289,0.001820,0.551040,1.0000
290,0.001872,0.551040,1.0000
291,0.001923,0.551040,1.0000
292,0.001974,0.551040,1.0000
293,0.002025,0.551040,1.0000
294,0.002076,0.551040,1.0000
295,0.002126,0.551040,1.0000
296,0.002176,0.551040,1.0000
297,0.002226,0.551040,1.0000
298,0.002276,0.551040,1.0000
299,0.002325,0.551040,1.0000
300,0.002374,0.551040,1.0000
301,0.002423,0.550029,1.0000
302,0.002471,0.550029,1.0000
303,0.002519,0.550029,1.0000
304,0.002567,0.550029,1.0000
305,0.002615,0.550029,1.0000
306,0.002662,0.550029,1.0000
307,0.002709,0.550029,1.0000
308,0.002756,0.550029,1.0000
309,0.002802,0.550029,1.0000
310,0.002848,0.550029,1.0000
311,0.002894,0.550029,1.0000
312,0.002939,0.550029,1.0000
313,0.002985,0.550029,1.0000
314,0.003029,0.550029,1.0000
315,0.003074,0.550029,1.0000
316,0.003118,0.550029,1.0000
317,0.003162,0.550029,1.0000
318,0.003206,0.550029,1.0000
319,0.003249,0.550029,1.0000
320,0.003292,0.550029,1.0000
321,0.003335,0.549220,1.0000
322,0.003378,0.549220,1.0000
323,0.003420,0.549220,1.0000
324,0.003462,0.549220,1.0000
325,0.003503,0.549220,1.0000
326,0.003545,0.549220,1.0000
327,0.003586,0.549220,1.0000
328,0.003626,0.549220,1.0000
329,0.003667,0.549220,1.0000
330,0.003707,0.549220,1.0000
331,0.003747,0.549220,1.0000
332,0.003786,0.549220,1.0000
333,0.003826,0.549220,1.0000
334,0.003865,0.549220,1.0000
335,0.003903,0.549220,1.0000
336,0.003942,0.549220,1.0000
337,0.003980,0.549220,1.0000
338,0.004018,0.549220,1.0000
339,0.004055,0.549220,1.0000
340,0.004093,0.549220,1.0000
341,0.004129,0.548795,1.0000
342,0.004166,0.548795,1.0000
343,0.004203,0.548795,1.0000
344,0.004239,0.548795,1.0000
345,0.004274,0.548795,1.0000
346,0.004310,0.548795,1.0000
347,0.004345,0.548795,1.0000
348,0.004380,0.548795,1.0000
349,0.004415,0.548795,1.0000
350,0.004449,0.548795,1.0000
351,0.004483,0.548795,1.0000
352,0.004517,0.548795,1.0000
353,0.004551,0.548795,1.0000
354,0.004584,0.548795,1.0000
355,0.004617,0.548795,1.0000
356,0.004650,0.548795,1.0000
357,0.004682,0.548795,1.0000
