file,path,size_bytes,appears_propositional,lean_accepted,notes
aime_1983_p1.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/aime_1983_p1.lean,338,false,skipped,
aime_1983_p2.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/aime_1983_p2.lean,289,false,skipped,
aime_1983_p3.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/aime_1983_p3.lean,300,false,skipped,
aime_1984_p1.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/aime_1984_p1.lean,279,false,skipped,
aime_1984_p7.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/aime_1984_p7.lean,248,false,skipped,
aime_1987_p5.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/aime_1987_p5.lean,206,false,skipped,
aime_1988_p8.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/aime_1988_p8.lean,341,false,skipped,
aime_1989_p8.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/aime_1989_p8.lean,434,false,skipped,
aime_1990_p15.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/aime_1990_p15.lean,293,false,skipped,
aime_1990_p4.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/aime_1990_p4.lean,353,false,skipped,
aime_1991_p9.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/aime_1991_p9.lean,262,false,skipped,
aime_1994_p3.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/aime_1994_p3.lean,216,false,skipped,
aime_1995_p7.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/aime_1995_p7.lean,346,false,skipped,
aime_1997_p9.lean,/srv/luminous-dynamics/symthaea/data/benchmarks/minif2f/MiniF2F/Test/aime_1997_p9.lean,276,false,skipped,
