name,stage,error_category,error_message
mathd_algebra_422,not_parsed,parse,"unknown character 'σ' at offset 122"
mathd_algebra_206,not_parsed,parse,"expected term (identifier, integer, or `(`), found ""ℝ"" at offset 128"
mathd_numbertheory_233,not_parsed,parse,"unknown character '⁻' at offset 153"
mathd_algebra_270,not_parsed,parse,"expected term (identifier, integer, or `(`), found ""ℝ"" at offset 118"
mathd_numbertheory_101,not_parsed,parse,"unknown character '%' at offset 126"
mathd_numbertheory_284,translated,,
mathd_algebra_245,not_parsed,parse,"unknown character '⁻' at offset 149"
mathd_algebra_113,translated,,
mathd_numbertheory_780,not_parsed,parse,"unknown character '%' at offset 190"
mathd_algebra_80,translated,,
mathd_numbertheory_37,not_parsed,parse,"unknown character '.' at offset 120"
mathd_numbertheory_269,not_parsed,parse,"unknown character '%' at offset 162"
mathd_numbertheory_175,not_parsed,parse,"unknown character '%' at offset 129"
mathd_algebra_327,not_parsed,parse,"expected relation operator (= ≠ < ≤ > ≥), found ""("" at offset 141"
mathd_numbertheory_457,not_parsed,parse,"unknown character '∣' at offset 160"
mathd_numbertheory_252,not_parsed,parse,"unknown character '!' at offset 119"
mathd_numbertheory_370,not_parsed,parse,"unknown character '%' at offset 136"
mathd_algebra_176,translated,,
mathd_numbertheory_136,translated,,
mathd_algebra_354,translated,,
mathd_numbertheory_293,not_parsed,parse,"unknown character '∣' at offset 159"
mathd_algebra_11,translated,,
mathd_algebra_188,not_parsed,parse,"unknown character 'σ' at offset 114"
mathd_numbertheory_668,not_parsed,parse,"unknown character '⁻' at offset 150"
mathd_numbertheory_33,not_parsed,parse,"unknown character '%' at offset 156"
mathd_numbertheory_34,not_parsed,parse,"unknown character '%' at offset 159"
mathd_algebra_160,translated,,
mathd_numbertheory_64,not_parsed,parse,"unknown character '{' at offset 125"
mathd_algebra_440,translated,,
mathd_algebra_296,not_parsed,parse,"expected relation operator (= ≠ < ≤ > ≥), found ""("" at offset 119"
mathd_algebra_192,not_parsed,parse,"unknown character 'ℂ' at offset 120"
mathd_algebra_33,translated,,
mathd_numbertheory_236,not_parsed,parse,"unknown character '%' at offset 130"
mathd_numbertheory_430,translated,,
mathd_algebra_346,not_parsed,parse,"expected term (identifier, integer, or `(`), found ""ℝ"" at offset 120"
mathd_algebra_451,not_parsed,parse,"unknown character 'σ' at offset 112"
mathd_numbertheory_66,not_parsed,parse,"unknown character '%' at offset 123"
mathd_algebra_410,translated,,
mathd_algebra_59,not_parsed,parse,"expected `)` closing parenthesized term, found "":"" at offset 131"
mathd_algebra_459,not_parsed,parse,"unknown character 'ℚ' at offset 124"
mathd_algebra_419,translated,,
mathd_algebra_140,not_parsed,parse,"expected term (identifier, integer, or `(`), found ""∀"" at offset 170"
mathd_numbertheory_335,not_parsed,parse,"unknown character '%' at offset 136"
mathd_numbertheory_207,translated,,
mathd_algebra_362,translated,,
mathd_algebra_246,not_parsed,parse,"expected term (identifier, integer, or `(`), found ""ℝ"" at offset 132"
mathd_algebra_251,translated,,
mathd_algebra_598,not_parsed,parse,"expected `)` closing parenthesized term, found "":"" at offset 142"
mathd_algebra_304,translated,,
mathd_algebra_247,not_translated,translate,"unsupported translation: non-literal exponent"
