# name	max_utf8_bytes	hex_utf8	expected
ascii_p1	4096	7031	accept
empty	4096		reject
interior_nbsp	4096	70c2a031	accept
interior_em_space	4096	70e2808331	accept
interior_nel	4096	70c28531	accept
nul_control	4096	700078	reject
unit_separator_control	4096	701f78	reject
del_control	4096	707f78	reject
invalid_utf8_ff	4096	ff	reject
case_upper	4096	50726f636573732d41	accept
case_lower	4096	70726f636573732d61	accept
nfc_e_acute	4096	c3a9	accept
nfd_e_acute	4096	65cc81	accept
latin_A	4096	41	accept
cyrillic_A	4096	d090	accept
zero_width_space_leading	4096	e2808b78	accept
zero_width_space_trailing	4096	78e2808b	accept
bom_leading	4096	efbbbf78	accept
bom_trailing	4096	78efbbbf	accept
mongolian_vowel_separator_leading	4096	e1a08e78	accept
soft_hyphen_leading	4096	c2ad78	accept
edge_ws_U0009_leading	4096	0978	reject
edge_ws_U0009_trailing	4096	7809	reject
edge_ws_U000A_leading	4096	0a78	reject
edge_ws_U000A_trailing	4096	780a	reject
edge_ws_U000B_leading	4096	0b78	reject
edge_ws_U000B_trailing	4096	780b	reject
edge_ws_U000C_leading	4096	0c78	reject
edge_ws_U000C_trailing	4096	780c	reject
edge_ws_U000D_leading	4096	0d78	reject
edge_ws_U000D_trailing	4096	780d	reject
edge_ws_U0020_leading	4096	2078	reject
edge_ws_U0020_trailing	4096	7820	reject
edge_ws_U0085_leading	4096	c28578	reject
edge_ws_U0085_trailing	4096	78c285	reject
edge_ws_U00A0_leading	4096	c2a078	reject
edge_ws_U00A0_trailing	4096	78c2a0	reject
edge_ws_U1680_leading	4096	e19a8078	reject
edge_ws_U1680_trailing	4096	78e19a80	reject
edge_ws_U2000_leading	4096	e2808078	reject
edge_ws_U2000_trailing	4096	78e28080	reject
edge_ws_U2001_leading	4096	e2808178	reject
edge_ws_U2001_trailing	4096	78e28081	reject
edge_ws_U2002_leading	4096	e2808278	reject
edge_ws_U2002_trailing	4096	78e28082	reject
edge_ws_U2003_leading	4096	e2808378	reject
edge_ws_U2003_trailing	4096	78e28083	reject
edge_ws_U2004_leading	4096	e2808478	reject
edge_ws_U2004_trailing	4096	78e28084	reject
edge_ws_U2005_leading	4096	e2808578	reject
edge_ws_U2005_trailing	4096	78e28085	reject
edge_ws_U2006_leading	4096	e2808678	reject
edge_ws_U2006_trailing	4096	78e28086	reject
edge_ws_U2007_leading	4096	e2808778	reject
edge_ws_U2007_trailing	4096	78e28087	reject
edge_ws_U2008_leading	4096	e2808878	reject
edge_ws_U2008_trailing	4096	78e28088	reject
edge_ws_U2009_leading	4096	e2808978	reject
edge_ws_U2009_trailing	4096	78e28089	reject
edge_ws_U200A_leading	4096	e2808a78	reject
edge_ws_U200A_trailing	4096	78e2808a	reject
edge_ws_U2028_leading	4096	e280a878	reject
edge_ws_U2028_trailing	4096	78e280a8	reject
edge_ws_U2029_leading	4096	e280a978	reject
edge_ws_U2029_trailing	4096	78e280a9	reject
edge_ws_U202F_leading	4096	e280af78	reject
edge_ws_U202F_trailing	4096	78e280af	reject
edge_ws_U205F_leading	4096	e2819f78	reject
edge_ws_U205F_trailing	4096	78e2819f	reject
edge_ws_U3000_leading	4096	e3808078	reject
edge_ws_U3000_trailing	4096	78e38080	reject
