chain,start,cycle,plaquette,polyakov_abs,w11,w21,w12,w22
0,cold,13,0.5890051512305633,0.19621485773965308,0.4808650474627893,0.21944242089083169,0.24073427352255758,0.03155391810703237
0,cold,14,0.5923176526783903,0.21055512282708802,0.6099830695784368,0.35548726213912374,0.43904896893479306,0.19982620919822805
0,cold,15,0.6094257084527988,0.31243176726664484,0.6322918044488378,0.4263824764107221,0.3790807279255437,0.1346217741713299
0,cold,16,0.6009785035227314,0.20309197281297497,0.5468572212527192,0.3350534908821927,0.3313966714633293,0.11021609316446644
0,cold,17,0.5899504654215866,0.44490939969495125,0.5665073452524978,0.27588416205001454,0.3666379722699567,0.17432674090679717
0,cold,18,0.567285409034707,0.16563094493629063,0.536118957271351,0.3686078184707793,0.24171120371226495,0.09230521107875654
0,cold,19,0.6113046787034842,0.1668154407902762,0.6043489207367031,0.4323083027792808,0.3740630146845288,0.18439000901790015
0,cold,20,0.5702295086319592,0.1765663762396158,0.5127058692680188,0.3159493686463957,0.2687700016675572,0.1338918936981767
1,disordered,13,0.5836535920711928,0.04676046861352871,0.5264442114342887,0.28706672197321137,0.29252802084125384,0.049262112569593786
1,disordered,14,0.5930072183763514,0.17677577707049907,0.5858958024674057,0.36793312213481677,0.37131723348739365,0.13466403672996
1,disordered,15,0.5976258331005384,0.1360810892285194,0.5583269416675525,0.32028196310680057,0.2834247325704848,0.11068041601791277
1,disordered,16,0.6010385927495839,0.06676652257830082,0.5345566481401648,0.36618036174225677,0.32065485392524024,0.07347150630922245
1,disordered,17,0.5654677800102128,0.21013261703587524,0.5488252629896416,0.32153461425716057,0.3679178038045047,0.12204599238357207
1,disordered,18,0.5817170767116424,0.24005346769042435,0.5398294268618264,0.30354181876891667,0.3507017701656157,0.14868589551278755
1,disordered,19,0.532263177212937,0.2596730166281974,0.4971487285092329,0.24848008172616398,0.24660718338567278,0.05747489134269552
1,disordered,20,0.5800718078197291,0.44347845815733006,0.5170686587663579,0.2816131955213808,0.32969252225364404,0.14728842649652008
