filename,duration_s,source_text_origin,voice,license
af_heart_0000.wav,8.62,"Alice in Wonderland (Lewis Carroll, Project Gutenberg #11, public domain)",af_heart (Kokoro-82M),Apache-2.0 (Kokoro-82M model)
af_heart_0001.wav,6.70,"Alice in Wonderland (Lewis Carroll, Project Gutenberg #11, public domain)",af_heart (Kokoro-82M),Apache-2.0 (Kokoro-82M model)
af_heart_0002.wav,12.65,"Alice in Wonderland (Lewis Carroll, Project Gutenberg #11, public domain)",af_heart (Kokoro-82M),Apache-2.0 (Kokoro-82M model)
af_heart_0003.wav,9.65,"Alice in Wonderland (Lewis Carroll, Project Gutenberg #11, public domain)",af_heart (Kokoro-82M),Apache-2.0 (Kokoro-82M model)
af_heart_0004.wav,6.67,"Alice in Wonderland (Lewis Carroll, Project Gutenberg #11, public domain)",af_heart (Kokoro-82M),Apache-2.0 (Kokoro-82M model)
af_heart_0005.wav,2.35,"Alice in Wonderland (Lewis Carroll, Project Gutenberg #11, public domain)",af_heart (Kokoro-82M),Apache-2.0 (Kokoro-82M model)
af_heart_0006.wav,7.50,"Alice in Wonderland (Lewis Carroll, Project Gutenberg #11, public domain)",af_heart (Kokoro-82M),Apache-2.0 (Kokoro-82M model)
af_heart_0007.wav,2.42,"Alice in Wonderland (Lewis Carroll, Project Gutenberg #11, public domain)",af_heart (Kokoro-82M),Apache-2.0 (Kokoro-82M model)
af_heart_0008.wav,4.12,"Alice in Wonderland (Lewis Carroll, Project Gutenberg #11, public domain)",af_heart (Kokoro-82M),Apache-2.0 (Kokoro-82M model)
af_heart_0009.wav,3.58,"Alice in Wonderland (Lewis Carroll, Project Gutenberg #11, public domain)",af_heart (Kokoro-82M),Apache-2.0 (Kokoro-82M model)
af_heart_0010.wav,2.83,"Alice in Wonderland (Lewis Carroll, Project Gutenberg #11, public domain)",af_heart (Kokoro-82M),Apache-2.0 (Kokoro-82M model)
af_heart_0011.wav,4.88,"Alice in Wonderland (Lewis Carroll, Project Gutenberg #11, public domain)",af_heart (Kokoro-82M),Apache-2.0 (Kokoro-82M model)
af_heart_0012.wav,11.50,"Alice in Wonderland (Lewis Carroll, Project Gutenberg #11, public domain)",af_heart (Kokoro-82M),Apache-2.0 (Kokoro-82M model)
af_heart_0013.wav,8.45,"Alice in Wonderland (Lewis Carroll, Project Gutenberg #11, public domain)",af_heart (Kokoro-82M),Apache-2.0 (Kokoro-82M model)
af_heart_0014.wav,5.28,"Alice in Wonderland (Lewis Carroll, Project Gutenberg #11, public domain)",af_heart (Kokoro-82M),Apache-2.0 (Kokoro-82M model)
af_heart_0015.wav,5.58,"Alice in Wonderland (Lewis Carroll, Project Gutenberg #11, public domain)",af_heart (Kokoro-82M),Apache-2.0 (Kokoro-82M model)
af_heart_0016.wav,4.15,"Alice in Wonderland (Lewis Carroll, Project Gutenberg #11, public domain)",af_heart (Kokoro-82M),Apache-2.0 (Kokoro-82M model)
af_heart_0017.wav,7.53,"Alice in Wonderland (Lewis Carroll, Project Gutenberg #11, public domain)",af_heart (Kokoro-82M),Apache-2.0 (Kokoro-82M model)
af_heart_0018.wav,2.17,"Alice in Wonderland (Lewis Carroll, Project Gutenberg #11, public domain)",af_heart (Kokoro-82M),Apache-2.0 (Kokoro-82M model)
af_heart_0019.wav,6.00,"Alice in Wonderland (Lewis Carroll, Project Gutenberg #11, public domain)",af_heart (Kokoro-82M),Apache-2.0 (Kokoro-82M model)
af_heart_0020.wav,9.70,"Alice in Wonderland (Lewis Carroll, Project Gutenberg #11, public domain)",af_heart (Kokoro-82M),Apache-2.0 (Kokoro-82M model)
af_heart_0021.wav,9.28,"Alice in Wonderland (Lewis Carroll, Project Gutenberg #11, public domain)",af_heart (Kokoro-82M),Apache-2.0 (Kokoro-82M model)
af_heart_0022.wav,12.70,"Alice in Wonderland (Lewis Carroll, Project Gutenberg #11, public domain)",af_heart (Kokoro-82M),Apache-2.0 (Kokoro-82M model)
af_heart_0023.wav,11.25,"Alice in Wonderland (Lewis Carroll, Project Gutenberg #11, public domain)",af_heart (Kokoro-82M),Apache-2.0 (Kokoro-82M model)
af_heart_0024.wav,3.25,"Alice in Wonderland (Lewis Carroll, Project Gutenberg #11, public domain)",af_heart (Kokoro-82M),Apache-2.0 (Kokoro-82M model)
