name,n_phonemes,duration_s,role,license
en001a,231,63.88,test,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en001b,231,63.84,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en002a,494,137.65,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en002b,507,137.44,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en003a,264,60.15,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en003b,259,60.15,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en004a,337,61.75,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en004b,339,61.88,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en005a,310,69.69,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en005b,313,69.81,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en006a,204,85.83,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en006b,201,85.92,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en007a,378,75.92,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en007b,375,75.92,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en008a,947,145.87,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en008b,949,146.04,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en009a,348,67.38,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en009b,347,67.62,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en010a,619,132.78,test,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
en010b,613,133.04,train,"CC-BY-NC-SA-4.0 (KAIST CSD, Zenodo 4916302)"
