step,aux_mel_loss,mel_loss,batch_size,lr,val_loss
1,0.15524,1.13675,1,0.0006,
2,0.11052,1.09192,1,0.0006,
3,0.09136,1.07274,1,0.0006,
4,0.07711,1.04938,1,0.0006,
5,0.08467,1.03659,1,0.0006,
6,0.07277,1.00236,1,0.0006,
7,0.06664,1.00398,1,0.0006,
8,0.06668,0.96373,1,0.0006,
9,0.06212,1.01525,1,0.0006,
10,0.06938,1.06246,1,0.0006,
11,0.0651,0.93709,1,0.0006,
12,0.05915,0.959,1,0.0006,
13,0.06118,0.88887,1,0.0006,
14,0.0667,0.84751,1,0.0006,
15,0.05873,0.975,1,0.0006,
16,0.05685,1.0849,1,0.0006,
17,0.06458,0.72959,1,0.0006,
18,0.06158,1.02623,1,0.0006,
19,0.06459,0.86758,1,0.0006,
20,0.0589,1.01831,1,0.0006,
21,0.05563,0.62444,1,0.0006,
22,0.05902,0.68249,1,0.0006,
23,0.0642,0.86941,1,0.0006,
24,0.05663,1.03477,1,0.0006,
25,0.06074,1.09147,1,0.0006,
26,0.06177,0.85918,1,0.0006,
27,0.05773,0.88608,1,0.0006,
28,0.05643,0.69994,1,0.0006,
29,0.05628,1.09897,1,0.0006,
30,0.05634,0.50618,1,0.0006,
31,0.05246,0.56697,1,0.0006,
32,0.06629,0.44381,1,0.0006,
33,0.05929,0.44664,1,0.0006,
34,0.05598,0.67035,1,0.0006,
35,0.05318,0.47754,1,0.0006,
36,0.05376,0.37004,1,0.0006,
37,0.05193,0.45518,1,0.0006,
38,0.05148,0.52945,1,0.0006,
39,0.06117,0.34803,1,0.0006,
40,0.05664,1.05173,1,0.0006,
41,0.05539,1.20792,1,0.0006,
42,0.05938,0.78337,1,0.0006,
43,0.06419,0.31149,1,0.0006,
44,0.05751,0.31682,1,0.0006,
45,0.05333,0.5033,1,0.0006,
46,0.05316,0.30185,1,0.0006,
47,0.05588,0.27927,1,0.0006,
48,0.05071,0.7236,1,0.0006,
49,0.0479,0.42155,1,0.0006,
50,0.06666,0.61359,1,0.0006,
51,0.05767,0.31436,1,0.0006,
52,0.05642,0.25955,1,0.0006,
53,0.05492,0.29881,1,0.0006,
54,0.05828,0.32887,1,0.0006,
55,0.05792,0.27648,1,0.0006,
56,0.05501,0.24137,1,0.0006,
57,0.05627,0.56586,2,0.0006,
58,0.0588,0.2531,2,0.0006,
59,0.05777,0.33062,2,0.0006,
60,0.05515,0.29426,2,0.0006,
61,0.05333,0.46322,2,0.0006,
62,0.0548,0.21474,2,0.0006,
63,0.05543,0.29057,2,0.0006,
64,0.054,0.42758,2,0.0006,
65,0.05158,0.89716,2,0.0006,
66,0.05589,0.37269,2,0.0006,
