epoch,loss_disc,loss_gen,loss_fm,loss_mel,loss_kl
1,4.324,2.738,10.983,34.609,9.000
2,4.164,3.234,9.129,20.768,1.303
4,3.712,3.097,9.007,19.257,1.705
6,4.279,2.951,7.350,16.228,1.082
8,3.886,3.111,7.747,16.325,1.599
10,3.932,3.201,9.970,17.661,1.182
11,3.789,3.057,8.072,16.501,0.974
13,3.790,3.042,10.017,17.612,0.999
15,3.906,3.373,9.154,16.369,0.670
17,3.583,3.731,13.013,17.852,0.929
19,3.774,3.502,9.762,16.619,0.496
20,4.026,2.950,4.296,14.050,0.688
22,3.520,3.836,11.202,16.709,1.194
24,3.616,3.475,9.350,16.994,0.889
26,3.561,3.813,12.095,16.951,0.505
28,3.847,3.380,9.139,16.386,0.765
29,3.856,3.032,10.300,17.183,0.788
31,4.250,3.233,7.560,16.182,0.962
33,3.636,3.938,9.762,15.585,0.790
35,3.615,3.398,10.442,16.642,0.282
37,4.150,2.953,6.137,14.723,0.629
38,3.578,4.103,11.910,16.804,0.830
40,4.056,3.581,8.040,16.300,1.212
42,3.506,3.715,12.255,16.335,0.639
44,3.308,3.991,13.520,16.032,0.184
46,3.614,3.520,9.761,17.496,0.594
47,3.986,3.155,6.426,13.515,0.679
49,3.785,3.614,8.394,16.057,0.784
51,3.752,3.199,7.457,14.341,0.533
53,4.070,3.241,6.305,14.289,0.598
55,3.941,3.445,7.112,15.659,0.731
56,3.929,2.994,7.690,15.425,0.732
58,3.706,4.427,15.512,16.956,0.979
60,3.727,3.954,9.754,15.654,0.917
62,3.749,3.555,9.450,15.948,0.995
64,3.457,3.772,12.249,16.641,0.695
65,3.818,3.276,8.743,14.431,1.137
67,3.915,3.531,5.541,14.444,0.787
69,3.673,3.844,11.500,16.091,0.421
71,3.666,3.651,11.197,17.045,0.641
73,3.977,3.189,6.052,14.251,0.725
74,3.700,3.413,10.467,17.211,0.771
76,3.704,3.470,11.793,15.945,0.888
78,3.889,3.396,8.509,14.764,0.913
80,3.664,3.898,10.630,15.399,0.858
82,3.488,3.569,10.093,15.571,0.843
83,3.539,3.375,7.590,13.566,1.137
85,3.986,3.307,8.489,14.877,0.955
87,3.459,3.747,10.984,15.561,0.823
89,3.454,3.463,12.521,15.732,0.759
91,3.698,3.601,10.991,14.861,-0.181
92,3.504,3.678,10.673,15.689,0.352
94,4.098,3.223,10.318,15.029,0.642
96,3.660,3.135,4.874,12.582,-0.464
98,3.472,3.671,11.968,14.899,0.524
101,3.562,3.355,8.431,14.528,0.583
103,3.437,4.147,14.444,16.253,0.772
105,3.802,3.203,10.872,16.048,0.954
107,3.719,3.595,9.123,15.510,0.794
109,3.229,3.914,8.710,14.143,0.607
110,3.504,3.682,10.777,15.871,0.852
112,3.506,3.809,12.300,15.624,0.547
114,3.633,3.361,6.508,13.098,1.401
116,3.530,3.797,8.805,14.571,0.605
118,3.312,3.636,11.618,15.273,0.207
119,3.710,3.195,8.854,14.963,0.890
121,3.441,3.717,7.821,11.867,0.453
123,3.736,3.636,9.159,15.934,0.625
127,3.651,3.234,8.446,15.382,0.475
128,3.221,4.031,11.017,15.180,0.458
130,3.310,4.041,10.921,15.756,0.522
132,2.945,4.590,14.285,16.142,0.137
134,3.772,3.037,5.599,12.447,-0.344
136,3.315,4.265,11.745,15.005,0.761
137,3.547,3.879,10.628,16.112,0.314
139,3.281,4.343,9.577,13.311,0.728
141,3.040,4.244,15.281,14.673,0.909
143,3.449,3.623,9.208,14.926,0.730
145,3.554,3.606,10.264,15.048,0.990
146,3.119,4.299,13.269,15.667,1.291
148,3.473,3.479,9.650,13.762,-0.527
152,3.368,3.758,11.077,13.975,0.275
154,3.422,4.031,10.204,13.952,0.665
155,3.569,3.606,10.033,15.511,1.101
157,3.045,4.023,12.023,15.434,0.238
159,3.689,3.239,4.420,11.166,0.700
161,3.472,3.991,8.833,13.749,0.634
163,3.204,4.179,10.851,13.216,0.384
164,3.673,3.378,6.711,13.183,0.487
166,3.335,4.224,12.171,16.061,0.714
168,3.223,4.045,12.126,15.052,0.933
170,3.499,3.725,9.541,13.828,0.232
172,3.493,3.915,11.236,14.418,0.344
173,3.684,3.638,13.784,15.348,0.813
177,3.391,4.039,10.960,15.303,0.030
179,3.436,3.978,13.156,15.795,0.575
181,3.341,3.742,9.746,13.347,0.566
182,3.368,3.878,8.194,13.589,0.154
184,3.745,3.428,9.729,13.858,0.623
186,3.485,3.577,11.670,14.471,0.748
188,2.715,4.831,12.409,14.165,0.712
190,3.321,4.270,12.532,15.150,0.019
191,3.100,4.402,15.437,15.158,0.148
193,3.251,4.180,13.253,15.009,0.347
195,4.155,2.985,4.803,11.247,0.637
197,3.132,4.310,11.861,14.642,0.430
199,3.564,3.678,10.399,14.428,0.369
