age_ma,extinction_rate_per_ma,origination_rate_per_ma,source
3800.0,0.00,0.00,PreLife
3500.0,0.01,0.02,Archean_microbial_estimate
3000.0,0.01,0.02,Archean_microbial_estimate
2500.0,0.02,0.03,Proterozoic_estimate
2400.0,0.15,0.03,GOE_anaerobe_dieoff
2300.0,0.05,0.04,PostGOE_recovery
2000.0,0.02,0.03,Boring_billion_stable
1500.0,0.02,0.02,Boring_billion_stable
1000.0,0.02,0.03,Tonian_baseline
720.0,0.10,0.02,Sturtian_glaciation
650.0,0.08,0.03,Marinoan_glaciation
635.0,0.03,0.10,PostSnowball_radiation
541.0,0.05,0.25,Cambrian_Explosion_Alroy2008
520.0,0.08,0.20,Cambrian_high_turnover
497.0,0.12,0.15,SPICE_elevated
485.0,0.06,0.12,Ordovician_baseline_Bambach2006
470.0,0.05,0.10,GOBE_diversification
445.0,0.20,0.05,EndOrdovician_Sheehan2001
440.0,0.06,0.15,Silurian_recovery
420.0,0.04,0.08,EarlyDevonian_stable
380.0,0.05,0.08,MidDevonian
372.0,0.15,0.04,Kellwasser_event
358.0,0.10,0.06,Hangenberg_event
340.0,0.04,0.07,Carboniferous_stable
320.0,0.03,0.06,MidCarboniferous_stable
299.0,0.04,0.06,CarbPerm_boundary
270.0,0.04,0.05,EarlyPermian_stable
260.0,0.10,0.04,Capitanian_Wignall2009
252.0,0.35,0.02,EndPermian_Bambach2006
247.0,0.10,0.15,EarlyTriassic_recovery
237.0,0.05,0.10,MiddleTriassic
220.0,0.04,0.08,LateTriassic_stable
201.0,0.18,0.04,EndTriassic_CAMP
190.0,0.04,0.10,EarlyJurassic_recovery
183.0,0.08,0.06,Toarcian_OAE
170.0,0.03,0.06,MidJurassic_stable
150.0,0.03,0.05,LateJurassic_stable
130.0,0.03,0.06,EarlyCretaceous
100.0,0.04,0.07,MidCretaceous
93.0,0.08,0.05,OAE2_CenomanianTuronian
80.0,0.03,0.05,LateCretaceous_stable
66.0,0.22,0.03,KPg_Bambach2006
60.0,0.04,0.15,Paleocene_recovery
56.0,0.06,0.10,PETM
45.0,0.03,0.08,Eocene_stable
34.0,0.07,0.06,EoceneOligocene_Grande_Coupure
23.0,0.03,0.06,Miocene_baseline
10.0,0.03,0.05,LateMiocene
5.0,0.03,0.04,Pliocene
2.0,0.04,0.04,Pleistocene_megafauna_stress
0.05,0.06,0.03,Holocene_Anthropocene_onset
0.01,0.03,0.04,PreIndustrial_baseline
