age_ma,d13c_carb,d13c_excursion_abs,source
3500.0,0.0,0.0,Schidlowski2001_baseline
3200.0,-2.0,2.0,Archean_depleted
2800.0,0.0,0.0,Neoarchean_baseline
2500.0,-1.0,1.0,PreGOE
2400.0,8.0,8.0,Lomagundi_excursion_Karhu1996
2300.0,10.0,10.0,Lomagundi_peak
2100.0,2.0,2.0,PostLomagundi
2050.0,-2.0,2.0,Shunga_event
1800.0,0.0,0.0,Mesoproterozoic_boring_billion
1400.0,0.0,0.0,Boring_billion_cont
1100.0,2.0,2.0,Keweenawan_excursion
1000.0,0.0,0.0,Tonian_baseline
850.0,5.0,5.0,Bitter_Springs_anomaly_Halverson2005
800.0,-5.0,5.0,Islay_anomaly
720.0,-7.0,7.0,Sturtian_glaciation_onset
717.0,-5.0,5.0,Sturtian_nadir
660.0,5.0,5.0,PostSturtian_cap
650.0,-8.0,8.0,Marinoan_glaciation_Trezona
635.0,8.0,8.0,PostMarinoan_cap_carbonate
580.0,-12.0,12.0,Shuram_excursion_LeGuerroue2006
560.0,-5.0,5.0,PostShuram_recovery
541.0,0.0,0.0,Cambrian_boundary
530.0,4.0,4.0,SPICE_precursor
520.0,-2.0,2.0,Cambrian_negative
510.0,0.0,0.0,MidCambrian_baseline
497.0,-4.0,4.0,SPICE_event_Saltzman2000
485.0,2.0,2.0,Ordovician_baseline
470.0,0.0,0.0,MidOrdovician
445.0,5.0,5.0,Hirnantian_excursion_Brenchley1994
440.0,0.0,0.0,Silurian_baseline
420.0,-1.0,1.0,EarlyDevonian
380.0,-2.0,2.0,Kellwasser_Joachimski2001
372.0,-3.0,3.0,Kellwasser_peak
358.0,4.0,4.0,Hangenberg_excursion
340.0,5.0,5.0,Carboniferous_positive_Bruckschen1999
320.0,4.0,4.0,MidCarboniferous
299.0,3.0,3.0,CarboniferousPermian_boundary
260.0,4.0,4.0,Capitanian_excursion
252.0,-3.0,3.0,EndPermian_negative_Korte2010
251.0,-1.0,1.0,PostPermian_recovery_start
247.0,2.0,2.0,SmithianSpathian_boundary
237.0,0.0,0.0,MiddleTriassic_baseline
228.0,-4.0,4.0,Carnian_Pluvial_negative
201.0,-6.0,6.0,EndTriassic_CAMP_Hesselbo2002
199.0,2.0,2.0,EarlyJurassic_recovery
183.0,-7.0,7.0,Toarcian_OAE_Jenkyns1988
174.0,0.0,0.0,MidJurassic_baseline
161.0,2.0,2.0,LateJurassic
145.0,0.0,0.0,JurassicCretaceous_boundary
120.0,3.0,3.0,Aptian_positive
112.0,-2.0,2.0,OAE1a_Menegatti1998
100.0,3.0,3.0,MidCretaceous_positive
93.0,-3.0,3.0,OAE2_Cenomanian_Turonian
66.0,-2.0,2.0,KPg_boundary_Kump1991
56.0,-4.0,4.0,PETM_McInerney2011
33.9,1.0,1.0,EoceneOligocene
23.0,1.0,1.0,MioceneBaseline
5.0,0.0,0.0,Pliocene
2.0,0.0,0.0,Pleistocene
0.01,0.0,0.0,PreIndustrial
