age_ma,epsilon_p,source
3500.0,25.0,Schidlowski2001_Archean_baseline
3200.0,27.0,Archean_high_fractionation
2800.0,28.0,Neoarchean_peak
2500.0,25.0,PreGOE
2400.0,30.0,GOE_enhanced_photosynthesis_Hayes1999
2300.0,28.0,PostGOE
2000.0,25.0,Boring_billion_stable
1500.0,25.0,Mesoproterozoic_stable
1000.0,26.0,Tonian
720.0,20.0,Sturtian_reduced_productivity
635.0,30.0,PostMarinoan_productivity_spike
541.0,28.0,Cambrian_baseline_Hayes1999
485.0,28.0,Ordovician_stable
445.0,32.0,Hirnantian_high_burial
420.0,27.0,Devonian_baseline
372.0,24.0,Kellwasser_reduced
359.0,28.0,Carboniferous_high
320.0,30.0,Carboniferous_peak_burial
299.0,28.0,Permian_early
252.0,22.0,EndPermian_collapsed_productivity_Korte2010
247.0,25.0,EarlyTriassic_recovery
237.0,27.0,MiddleTriassic
201.0,22.0,EndTriassic_reduced
183.0,24.0,Toarcian_OAE
150.0,27.0,LateJurassic
100.0,28.0,MidCretaceous
93.0,25.0,OAE2
66.0,26.0,KPg_Kump1991
56.0,23.0,PETM_reduced_McInerney2011
34.0,27.0,Oligocene
23.0,27.0,Miocene
5.0,27.0,Pliocene
0.01,27.0,PreIndustrial
