age_ma,occupied_modes,total_possible,source
3500.0,2,120,Archean_prokaryote_only
2500.0,3,120,PreGOE_anaerobic
2400.0,5,120,GOE_aerobic_added
1000.0,6,120,Tonian_eukaryotic_diversity
635.0,12,120,Ediacaran_Bambach2007
541.0,30,120,Cambrian_Explosion_Bambach2007
485.0,45,120,Ordovician_GOBE_Bush2007
445.0,35,120,EndOrdovician_loss
420.0,50,120,Silurian_Devonian_recovery
372.0,40,120,Kellwasser_loss
340.0,55,120,Carboniferous_terrestrial_Bambach2007
299.0,58,120,Permian_early
252.0,25,120,EndPermian_collapse_Bambach2007
237.0,42,120,MiddleTriassic_recovery
201.0,35,120,EndTriassic_loss
180.0,55,120,Jurassic_diversification
150.0,62,120,LateJurassic_Bambach2007
100.0,72,120,MidCretaceous_peak_Mesozoic
66.0,50,120,KPg_loss
56.0,65,120,Paleocene_recovery
34.0,78,120,Eocene_Bambach2007
23.0,85,120,Miocene
5.0,92,120,Pliocene
2.0,95,120,Pleistocene
0.01,100,120,Holocene_Bambach2007
