age_ma,o2_fraction,co2_ppm,source
3800.0,0.0001,100000,Catling2005_estimate
3500.0,0.0001,80000,Catling2005_estimate
3000.0,0.0002,50000,Catling2005_estimate
2500.0,0.001,30000,PreGOE_estimate
2400.0,0.02,10000,GOE_transition_Lyons2014
2200.0,0.04,5000,PostGOE_Bekker2004
2000.0,0.05,4000,Proterozoic_GEOCARB
1800.0,0.06,3000,GEOCARB_III
1500.0,0.08,2500,GEOCARB_III
1000.0,0.10,2000,GEOCARB_III
800.0,0.12,4000,Neoproterozoic_GEOCARB
700.0,0.05,1500,SnowballEarth_Hoffman1998
635.0,0.10,3000,PostSnowball_recovery
541.0,0.15,4500,Cambrian_GEOCARB
485.0,0.14,4200,Ordovician_GEOCARB
445.0,0.14,4000,LateOrdovician
420.0,0.16,3500,Silurian_GEOCARB
380.0,0.21,2200,Devonian_GEOCARB
359.0,0.25,1500,EarlyCarboniferous
320.0,0.35,350,Carboniferous_peak_Berner2009
299.0,0.30,900,LateCarboniferous
260.0,0.25,1500,Permian_GEOCARB
252.0,0.16,2500,EndPermian_Berner2009
237.0,0.18,2000,MiddleTriassic
201.0,0.16,2500,EndTriassic
180.0,0.20,1500,Jurassic_GEOCARB
150.0,0.22,1200,LateJurassic
100.0,0.24,1000,MidCretaceous_GEOCARB
66.0,0.23,900,EndCretaceous
56.0,0.22,800,PETM
34.0,0.21,500,EoceneOligocene
23.0,0.21,400,Miocene_early
10.0,0.21,300,Miocene_late
5.0,0.21,280,Pliocene
2.0,0.21,260,Pleistocene
0.01,0.21,280,PreIndustrial
