age_ma,area_km2,name,source
2715.0,500000,Fortescue_LIP,Ernst2014
2500.0,300000,Matachewan_LIP,Ernst2014
1270.0,600000,Mackenzie_LIP,Ernst2014
825.0,500000,Willouran_LIP,Ernst2014
720.0,400000,Franklin_LIP,Ernst2014
510.0,200000,Kalkarindji_LIP,Ernst2014
445.0,100000,Late_Ordovician_volcanism,Bond2004
380.0,200000,Viluy_Traps,Courtillot2003
260.0,500000,Emeishan_Traps,Ernst2014
252.0,7000000,Siberian_Traps,Burgess2017
201.0,11000000,CAMP,Marzoli1999
183.0,2000000,Karoo_Ferrar,Duncan1997
135.0,2000000,Parana_Etendeka,Ernst2014
122.0,2000000,Ontong_Java,Coffin2006
100.0,1000000,High_Arctic_LIP,Ernst2014
66.0,1500000,Deccan_Traps,Schoene2019
56.0,200000,NAIP_Phase2,Storey2007
30.0,600000,Ethiopian_Afar,Ernst2014
15.0,200000,Columbia_River,Reidel2013
