age_ma,value,source,uncertainty
541.0,300,PBDB_Sepkoski_Cambrian,0.30
485.0,1200,PBDB_Ordovician_peak,0.20
445.0,500,PBDB_EndOrdovician_trough,0.15
420.0,1500,PBDB_Silurian_recovery,0.20
372.0,900,PBDB_LateDevonian_trough,0.15
359.0,1100,PBDB_Carboniferous_early,0.15
299.0,1800,PBDB_Permian_early,0.15
260.0,2200,PBDB_Permian_peak,0.12
252.0,600,PBDB_EndPermian_trough,0.10
247.0,800,PBDB_EarlyTriassic_recovery,0.15
237.0,1400,PBDB_MiddleTriassic,0.15
201.0,700,PBDB_EndTriassic_trough,0.12
180.0,1600,PBDB_EarlyJurassic,0.12
150.0,2000,PBDB_LateJurassic,0.10
100.0,2800,PBDB_MidCretaceous,0.10
66.0,1800,PBDB_EndCretaceous_trough,0.08
56.0,2200,PBDB_Paleocene_recovery,0.08
34.0,3000,PBDB_Eocene_peak,0.08
23.0,3200,PBDB_Oligocene,0.07
10.0,3500,PBDB_Miocene,0.06
5.0,3800,PBDB_Pliocene,0.05
2.0,4000,PBDB_Pleistocene,0.05
0.01,4200,PBDB_Holocene,0.03
