age_ma,marine_genera,source
541.0,250,Sepkoski1982_Cambrian
520.0,450,Sepkoski1982_EarlyCambrian
497.0,350,Sepkoski1982_Furongian
485.0,1000,RohdeMuller2005_Ordovician
470.0,1500,RohdeMuller2005_GOBE
458.0,1700,RohdeMuller2005_LatOrdovician
445.0,600,Sepkoski1982_EndOrdovician
440.0,800,RohdeMuller2005_Silurian
420.0,1200,RohdeMuller2005_EarlyDevonian
385.0,1800,RohdeMuller2005_MidDevonian
372.0,900,Sepkoski1982_Kellwasser
359.0,1000,RohdeMuller2005_EarlyCarboniferous
340.0,1400,RohdeMuller2005_Carboniferous
320.0,1600,RohdeMuller2005_Pennsylvanian
299.0,1500,RohdeMuller2005_PermoCarb
272.0,1800,RohdeMuller2005_EarlyPermian
260.0,2000,RohdeMuller2005_Guadalupian
252.0,500,Sepkoski1982_EndPermian
247.0,600,RohdeMuller2005_EarlyTriassic
237.0,1200,RohdeMuller2005_MidTriassic
220.0,1600,RohdeMuller2005_LateTriassic
201.0,700,Sepkoski1982_EndTriassic
190.0,1400,RohdeMuller2005_EarlyJurassic
170.0,1800,RohdeMuller2005_MidJurassic
150.0,2200,RohdeMuller2005_LateJurassic
130.0,2500,RohdeMuller2005_EarlyCretaceous
100.0,3000,RohdeMuller2005_MidCretaceous
80.0,3200,RohdeMuller2005_LateCretaceous
66.0,1800,Sepkoski1982_EndCretaceous
60.0,2200,RohdeMuller2005_Paleocene
45.0,2800,RohdeMuller2005_Eocene
34.0,2600,RohdeMuller2005_EocOlig
23.0,3000,RohdeMuller2005_Miocene
10.0,3400,RohdeMuller2005_LateMiocene
5.0,3700,RohdeMuller2005_Pliocene
2.0,3900,RohdeMuller2005_Pleistocene
0.01,4100,RohdeMuller2005_Holocene
