Year,Start_Date_UT,Peak_Date_UT,Peak_Flux_pfu,Flare_Class,Location
1976,Apr 30,May 01,12,X2,S09W47
1977,Sep 19,Sep 19,200,X2,N08W58
1977,Nov 22,Nov 22,160,X1,N24W38
1978,Feb 13,Feb 14,850,M7,N22W13
1978,Apr 29,Apr 30,1000,X5,N22E41
1978,Sep 23,Sep 24,2200,X1,N35W50
1979,Jun 06,Jun 07,950,X2,N20E16
1979,Aug 19,Aug 21,500,X6,N10E90
1981,Oct 08,Oct 13,2000,X3,S19E8
1982,Jan 31,Jan 31,830,X1,S13E1
1982,Jul 11,Jul 13,2900,X9,N17E7
1982,Dec 08,Dec 08,1000,X2,S14W8
1982,Dec 17,Dec 18,130,X12,S10E
1983,Feb 03,Feb 04,340,X4,S19W0
1984,Feb 16,Feb 16,660,Unknown,S12W90
1984,Apr 25,Apr 26,2500,X13,S12E43
1985,Apr 25,Apr 26,160,X1,N06E27
1986,Feb 06,Feb 07,130,X1,S04W06
1989,Mar 08,Mar 13,3500,X15,N35E69
1989,Mar 17,Mar 18,2000,X6,N33W60
1989,Aug 12,Aug 13,9200,X2,S16W37
1989,Sep 29,Sep 30,4500,X9,S26W90
1989,Oct 19,Oct 20,40000,X13,S27E10
1989,Nov 30,Dec 01,7300,X2,N26W59
1990,Mar 19,Mar 19,950,X1,N31W43
1990,May 21,May 22,410,X5,N35W36
1991,Mar 23,Mar 24,43000,X9,S26E28
1991,Jun 04,Jun 11,3000,X12,N30E70
1991,Jun 14,Jun 15,1400,X12,N33W69
1991,Jul 07,Jul 08,2300,X1,N26E03
1992,May 09,May 09,4600,M7,S26E08
1992,Oct 30,Oct 31,2700,X1,S22W61
1994,Feb 20,Feb 21,10000,M4,N09W02
1998,Apr 20,Apr 21,1700,M1,S43W90
1998,Sep 30,Oct 01,1200,M2,N23W81
2000,Jul 14,Jul 15,24000,X5,N22W07
2000,Nov 08,Nov 09,14800,M7,N00W75
2001,Apr 02,Apr 03,1110,X20,N14W82
2001,Apr 15,Apr 15,951,X14,S20W85
2001,Sep 24,Sep 25,12900,X2,S16E23
2001,Oct 01,Oct 02,2360,M9,S22W91
2001,Nov 04,Nov 06,31700,X1,N06W18
2001,Nov 22,Nov 24,18900,M9,S15W34
2002,Apr 21,Apr 21,2520,X1,S14W8
2002,May 22,May 23,820,C5,S19W56
2003,Oct 28,Oct 29,29500,X17,S16E08
2003,Nov 04,Nov 05,353,X28,S19W83
2004,Jul 25,Jul 26,2086,M1,N08W33
2005,Jan 16,Jan 17,5040,X2,N15W05
2005,May 14,May 15,3140,M8,N12E11
2005,Sep 08,Sep 11,1880,X17,S06E89
2006,Dec 06,Dec 07,1980,X9,S07E79
2012,Jan 23,Jan 24,6310,M8,N28W36
2012,Mar 07,Mar 08,6530,X5,N17E15
2013,May 22,May 23,1660,M5,N15W70
2014,Jan 06,Jan 09,1033,X1,S15W11
2015,Jun 21,Jun 22,1070,M2,N13W00
2017,Sep 10,Sep 11,1490,X8,S08W83
