sigma,es_mean,es_sd,mi_mean_bits,mi_sd
0.0,0.4999571533203125,4.750875568001828e-05,0.8680298144901503,0.07840040329943063
0.025,0.4994109741210938,9.07949605033206e-05,0.8894266322966974,0.06735557639045088
0.05,0.4999812744140625,0.0001240079849108285,0.8840268430744797,0.07544028613502213
0.07500000000000001,0.5001812744140625,9.828643030119274e-05,0.9177931350502606,0.13242773303197392
0.1,0.5003766052246094,7.859528756204606e-05,0.9228896004478354,0.029797679154076533
0.125,0.5001935119628906,8.511057424916977e-05,0.935714123664547,0.040897046879655466
0.15000000000000002,0.4999569396972657,7.148785243929359e-05,0.9053905200329997,0.028262714173917066
0.17500000000000002,0.5000572631835938,0.00012942466759168926,0.8815811840609993,0.035626852541388684
0.2,0.4999507934570312,6.349042770370477e-05,0.931454846712421,0.0887405774796423
0.225,0.4999278503417969,8.691535777295042e-05,0.848896999019151,0.08818725879317896
0.25,0.5000420776367187,7.350325633394279e-05,0.8837676250482985,0.011931937540827393
0.275,0.49995856323242194,6.673032948249792e-05,0.8465038987725408,0.044558800964839974
0.30000000000000004,0.5000240600585938,5.813782888782641e-05,0.8737856940735919,0.061461205404231015
0.325,0.5000400634765625,4.3501584649049975e-06,0.870682474928746,0.09113141263403493
0.35000000000000003,0.5000540100097657,6.943959131104587e-05,0.9594703860420427,0.054218352018537475
0.375,0.5000389953613281,9.930141827254612e-05,0.9028572975234139,0.06750001641131852
0.4,0.49998950805664066,9.761236043765772e-05,0.9089364127387463,0.063032311271054
0.42500000000000004,0.5000759155273438,0.0001046337676579089,0.8748105014700716,0.04392399091698452
0.45,0.5000020385742188,4.878750217531044e-05,0.8626466044118548,0.08711336003480734
0.47500000000000003,0.49994000244140624,9.780867887534416e-05,0.9048978586449523,0.06106400647136966
0.5,0.5000398193359374,6.921965129172024e-05,0.8867880345075931,0.048747730908946164
