domain,FullConsciousness,CfCOnly,NoFEP,NoSocial,ReducedWM,HDCOnly
Affect,0.534722,0.548611,0.548611,0.555556,-0.340278,-0.347222
Attention,0.957092,0.962336,0.948774,0.948546,0.748889,0.722679
Binding,0.617521,0.620726,0.609402,0.613462,0.622009,0.618803
Butlin,0.671429,0.671429,0.671429,0.671429,0.671429,0.671429
CausalReasoning,0.800595,0.800595,0.800595,0.800595,0.800595,0.800595
Clinical,2.002855,1.829674,1.913007,1.907452,1.893563,1.771341
Coding,0.212624,0.382081,0.329958,0.281263,0.363185,0.462852
CogBench,0.584874,0.584874,0.584874,0.584874,0.584874,0.584874
Consciousness,0.691693,0.657603,0.660292,0.690028,0.645940,0.611895
Creativity,0.745658,0.746012,0.745941,0.745846,0.690106,0.690194
Executive,0.638159,0.308046,0.424078,0.609885,0.438820,0.094081
Inhibition,0.648373,-12.011589,-7.120690,-2.853323,-9.317330,-19.241745
InstitutionalReasoning,2.248707,2.248707,2.248707,2.248707,2.248707,2.248707
Language,1.557548,1.038798,1.345048,1.557548,1.549215,0.678382
Mathematics,1.154687,0.534896,0.394271,0.877344,0.459375,-0.449479
MemoryAgent,0.645822,0.645822,0.645822,0.645822,-0.468464,-0.468464
Metacognition,0.753467,0.545980,0.598851,0.675131,0.658436,0.668660
Motor,2.123587,1.950571,2.001861,2.051918,1.976341,1.872320
Reasoning,1.391064,1.375281,1.379069,1.391064,1.379069,1.371494
Security,2.001438,2.001438,2.001438,2.001438,2.001438,2.001438
Social,1.536529,0.668763,1.434313,0.950513,1.397523,0.418273
Spatial,1.214583,1.210417,1.210417,1.210417,1.210417,1.210417
Speech,2.128968,1.956349,2.137302,2.134524,2.200794,0.303968
Substrate,0.877382,0.963238,0.939809,0.915134,0.950559,0.991530
SustainedAttention,2.194669,2.194669,2.194669,2.194669,2.194669,2.194669
ToMBench,1.083333,1.083333,1.083333,1.083333,1.083333,1.083333
WorM,0.728855,0.562189,0.673300,0.673300,-2.363772,-2.363772
