panel,x_var,x_value,y_var,y_value
yerkes_dodson,ne,0.10,simple_accuracy,1.000000
yerkes_dodson,ne,0.10,complex_accuracy,1.000000
yerkes_dodson,ne,0.20,simple_accuracy,1.000000
yerkes_dodson,ne,0.20,complex_accuracy,1.000000
yerkes_dodson,ne,0.30,simple_accuracy,1.000000
yerkes_dodson,ne,0.30,complex_accuracy,1.000000
yerkes_dodson,ne,0.40,simple_accuracy,1.000000
yerkes_dodson,ne,0.40,complex_accuracy,1.000000
yerkes_dodson,ne,0.50,simple_accuracy,1.000000
yerkes_dodson,ne,0.50,complex_accuracy,1.000000
yerkes_dodson,ne,0.60,simple_accuracy,1.000000
yerkes_dodson,ne,0.60,complex_accuracy,1.000000
yerkes_dodson,ne,0.70,simple_accuracy,1.000000
yerkes_dodson,ne,0.70,complex_accuracy,1.000000
yerkes_dodson,ne,0.80,simple_accuracy,1.000000
yerkes_dodson,ne,0.80,complex_accuracy,1.000000
yerkes_dodson,ne,0.90,simple_accuracy,1.000000
yerkes_dodson,ne,0.90,complex_accuracy,1.000000
reward_learning,block,1,mean_abs_rpe,0.344989
reward_learning,block,1,q_value_diff,-0.517483
reward_learning,block,2,mean_abs_rpe,0.121458
reward_learning,block,2,q_value_diff,-0.699670
reward_learning,block,3,mean_abs_rpe,0.040507
reward_learning,block,3,q_value_diff,-0.760431
reward_learning,block,4,mean_abs_rpe,0.019475
reward_learning,block,4,q_value_diff,-0.789644
reward_learning,block,5,mean_abs_rpe,0.644036
reward_learning,block,5,q_value_diff,0.176410
reward_learning,block,6,mean_abs_rpe,0.291994
reward_learning,block,6,q_value_diff,0.614401
reward_learning,block,7,mean_abs_rpe,0.091311
reward_learning,block,7,q_value_diff,0.751367
reward_learning,block,8,mean_abs_rpe,0.032346
reward_learning,block,8,q_value_diff,0.799886
attention_network,ach_boost,0.00,alerting_effect,-0.523209
attention_network,ach_boost,0.00,orienting_effect,0.002765
attention_network,ach_boost,0.00,conflict_effect,5.567928
attention_network,ach_boost,0.05,alerting_effect,-0.542446
attention_network,ach_boost,0.05,orienting_effect,-0.144293
attention_network,ach_boost,0.05,conflict_effect,5.673962
attention_network,ach_boost,0.10,alerting_effect,-0.567034
attention_network,ach_boost,0.10,orienting_effect,-0.346438
attention_network,ach_boost,0.10,conflict_effect,5.760517
attention_network,ach_boost,0.15,alerting_effect,-0.588122
attention_network,ach_boost,0.15,orienting_effect,-0.609012
attention_network,ach_boost,0.15,conflict_effect,5.812177
attention_network,ach_boost,0.20,alerting_effect,-0.605856
attention_network,ach_boost,0.20,orienting_effect,-0.931354
attention_network,ach_boost,0.20,conflict_effect,5.815295
attention_network,ach_boost,0.25,alerting_effect,-0.574605
attention_network,ach_boost,0.25,orienting_effect,-1.262455
attention_network,ach_boost,0.25,conflict_effect,5.726337
attention_network,ach_boost,0.30,alerting_effect,-0.505140
attention_network,ach_boost,0.30,orienting_effect,-1.567228
attention_network,ach_boost,0.30,conflict_effect,5.549968
attention_network,ach_boost,0.35,alerting_effect,-0.439175
attention_network,ach_boost,0.35,orienting_effect,-1.839045
attention_network,ach_boost,0.35,conflict_effect,5.312577
attention_network,ach_boost,0.40,alerting_effect,-0.388630
attention_network,ach_boost,0.40,orienting_effect,-2.077618
attention_network,ach_boost,0.40,conflict_effect,5.037113
attention_network,ach_boost,0.45,alerting_effect,-0.348442
attention_network,ach_boost,0.45,orienting_effect,-2.288824
attention_network,ach_boost,0.45,conflict_effect,4.747305
attention_network,ach_boost,0.50,alerting_effect,-0.319412
attention_network,ach_boost,0.50,orienting_effect,-2.478819
attention_network,ach_boost,0.50,conflict_effect,4.461243
dose_response,dose,0.10,da_output,0.742013
dose_response,dose,0.20,da_output,0.784026
dose_response,dose,0.30,da_output,0.826039
dose_response,dose,0.50,da_output,0.900000
dose_response,dose,0.80,da_output,0.968793
dose_response,dose,0.10,ne_output,-0.078993
dose_response,dose,0.20,ne_output,-0.057987
dose_response,dose,0.30,ne_output,-0.040000
dose_response,dose,0.50,ne_output,0.000000
dose_response,dose,0.80,ne_output,0.049170
dose_response,dose,0.10,sht_output,-0.031597
dose_response,dose,0.20,sht_output,-0.024000
dose_response,dose,0.30,sht_output,-0.016000
dose_response,dose,0.50,sht_output,0.000000
dose_response,dose,0.80,sht_output,0.020644
dose_response,dose,0.10,ach_output,0.826258
dose_response,dose,0.20,ach_output,0.852516
dose_response,dose,0.30,ach_output,0.875000
dose_response,dose,0.50,ach_output,0.925000
dose_response,dose,0.80,ach_output,0.981171
dose_response,dose,0.10,gaba_output,0.969729
dose_response,dose,0.20,gaba_output,0.940000
dose_response,dose,0.30,gaba_output,0.910000
dose_response,dose,0.50,gaba_output,0.886371
dose_response,dose,0.80,gaba_output,0.822138
