benchmark,metric,icc,pearson_r,sem,practice_direction,practice_change_pct,reliability_class
Executive::Stroop,incongruent_accuracy,0.957852,0.964588,0.015595,Stable,-0.126666,Excellent
Executive::WCST,categories_completed,0.906610,0.905499,0.062552,Stable,0.028711,Excellent
Executive::Flanker,flanker_effect,0.285999,0.283104,0.012534,Stable,0.425985,Poor
Executive::IGT,overall_net_score,-0.060015,-0.054211,2.006383,Stable,-1.569137,Poor
WorM::N-back,nback_2::accuracy,0.229347,0.226233,0.016909,Stable,0.522392,Poor
WorM::ChangeDetection,set_size_4::accuracy,0.102866,0.088772,0.114349,Stable,0.813008,Poor
WorM::DigitSpan,forward_span,1.000000,1.000000,0.000000,Stable,0.000000,Excellent
Attention::VisualSearch,search_asymmetry,0.205560,0.200542,0.016438,Stable,-0.682366,Poor
ToMBench::FalseBelief,false_belief_accuracy,0.294180,0.325946,0.047064,Decline,-2.272727,Poor
Motor::SRTT,learning_effect,0.234816,0.241769,0.002430,Stable,0.357583,Poor
Language::LexicalDecision,lexicality_effect,-0.190901,-0.198868,0.011533,Stable,0.206754,Poor
Reasoning::ArcFluid,transfer_accuracy,-0.006413,0.000926,0.015078,Stable,0.615051,Poor
CogBench::TwoStep,beta3_model_basedness,0.034852,0.022337,0.046900,Stable,1.052825,Poor
CogBench::BART,average_pumps,-0.158790,-0.158964,0.770894,Stable,-0.753637,Poor
CogBench::ReversalLearning,win_stay_rate,-0.107919,-0.078743,0.000781,Stable,0.034476,Poor
Inhibition::StopSignal,ssrt_ticks,0.835172,0.831606,0.163069,Improvement,2.201836,Good
Metacognition::Calibration,calibration_error_ece,0.960342,0.961885,0.006234,Stable,-1.434692,Excellent
Metacognition::FeelingOfKnowing,fok_gamma,-0.131325,-0.128818,0.027344,Stable,1.068840,Poor
Neuromod::YerkesDodson,inverted_u_fit_r2,-0.000000,0.000000,0.002524,Stable,0.166945,Poor
Neuromod::RewardLearning,trials_to_criterion,0.195000,0.183572,0.698137,Stable,-0.190398,Poor
