benchmark,time_pressure,accuracy,mean_rt,fit_asymptote,fit_rate,fit_intercept,fit_r_squared,human_like
Executive::Stroop,0.000000,0.891250,11.379244,0.802125,1.906200,8.761993,0.000003,0
Executive::Stroop,0.200000,0.857500,11.379355,0.802125,1.906200,8.761993,0.000003,0
Executive::Stroop,0.400000,0.818750,11.379408,0.802125,1.906200,8.761993,0.000003,0
Executive::Stroop,0.600000,0.775000,11.379401,0.802125,1.906200,8.761993,0.000003,0
Executive::Stroop,0.800000,0.731250,11.379336,0.802125,1.906200,8.761993,0.000003,0
Executive::Stroop,1.000000,0.706250,11.379211,0.802125,1.906200,8.761993,0.000003,0
WorM::N-back,0.000000,0.920019,5.533921,0.920019,4.950100,0.000000,1.000000,1
WorM::N-back,0.200000,0.920019,5.171110,0.920019,4.950100,0.000000,1.000000,1
WorM::N-back,0.400000,0.920019,4.794403,0.920019,4.950100,0.000000,1.000000,1
WorM::N-back,0.600000,0.920019,4.403800,0.920019,4.950100,0.000000,1.000000,1
WorM::N-back,0.800000,0.920019,3.999300,0.920019,4.950100,0.000000,1.000000,1
WorM::N-back,1.000000,0.920019,3.580905,0.920019,4.950100,0.000000,1.000000,1
Executive::WCST,0.000000,0.500000,5.198844,0.500000,4.950100,0.000000,1.000000,1
Executive::WCST,0.200000,0.500000,5.130757,0.500000,4.950100,0.000000,1.000000,1
Executive::WCST,0.400000,0.500000,4.975203,0.500000,4.950100,0.000000,1.000000,1
Executive::WCST,0.600000,0.500000,4.814948,0.500000,4.950100,0.000000,1.000000,1
Executive::WCST,0.800000,0.500000,4.531312,0.500000,4.950100,0.000000,1.000000,1
Executive::WCST,1.000000,0.500000,4.318055,0.500000,4.950100,0.000000,1.000000,1
Reasoning::ArcFluid,0.000000,0.710000,5.976071,0.710000,1.008000,0.968124,0.976660,1
Reasoning::ArcFluid,0.200000,0.705000,5.497986,0.710000,1.008000,0.968124,0.976660,1
Reasoning::ArcFluid,0.400000,0.695000,5.019900,0.710000,1.008000,0.968124,0.976660,1
Reasoning::ArcFluid,0.600000,0.690000,4.541814,0.710000,1.008000,0.968124,0.976660,1
Reasoning::ArcFluid,0.800000,0.680000,4.063729,0.710000,1.008000,0.968124,0.976660,1
Reasoning::ArcFluid,1.000000,0.660000,3.585643,0.710000,1.008000,0.968124,0.976660,1
Executive::Flanker,0.000000,0.956250,8.223178,0.918000,4.600800,0.000000,0.000000,0
Executive::Flanker,0.200000,0.940833,8.299607,0.918000,4.600800,0.000000,0.000000,0
Executive::Flanker,0.400000,0.923333,8.376036,0.918000,4.600800,0.000000,0.000000,0
Executive::Flanker,0.600000,0.905000,8.452465,0.918000,4.600800,0.000000,0.000000,0
Executive::Flanker,0.800000,0.890417,8.528894,0.918000,4.600800,0.000000,0.000000,0
Executive::Flanker,1.000000,0.876667,8.605323,0.918000,4.600800,0.000000,0.000000,0
Attention::VisualSearch,0.000000,0.914062,6.026556,0.850078,0.958100,1.325842,0.000000,0
Attention::VisualSearch,0.200000,0.882812,6.034853,0.850078,0.958100,1.325842,0.000000,0
Attention::VisualSearch,0.400000,0.853125,6.043149,0.850078,0.958100,1.325842,0.000000,0
Attention::VisualSearch,0.600000,0.823438,6.051445,0.850078,0.958100,1.325842,0.000000,0
Attention::VisualSearch,0.800000,0.795625,6.059742,0.850078,0.958100,1.325842,0.000000,0
Attention::VisualSearch,1.000000,0.770938,6.068038,0.850078,0.958100,1.325842,0.000000,0
CogBench::ReversalLearning,0.000000,0.500000,8.228505,0.500000,4.900200,0.000000,1.000000,1
CogBench::ReversalLearning,0.200000,0.500000,8.009159,0.500000,4.900200,0.000000,1.000000,1
CogBench::ReversalLearning,0.400000,0.500000,7.900531,0.500000,4.900200,0.000000,1.000000,1
CogBench::ReversalLearning,0.600000,0.500000,7.705578,0.500000,4.900200,0.000000,1.000000,1
CogBench::ReversalLearning,0.800000,0.500000,7.657810,0.500000,4.900200,0.000000,1.000000,1
CogBench::ReversalLearning,1.000000,0.500000,7.465649,0.500000,4.900200,0.000000,1.000000,1
CogBench::BART,0.000000,0.500000,23.782500,0.500000,1.756500,0.000000,1.000000,1
CogBench::BART,0.200000,0.500000,24.002500,0.500000,1.756500,0.000000,1.000000,1
CogBench::BART,0.400000,0.500000,23.170000,0.500000,1.756500,0.000000,1.000000,1
CogBench::BART,0.600000,0.500000,23.937500,0.500000,1.756500,0.000000,1.000000,1
CogBench::BART,0.800000,0.500000,22.992500,0.500000,1.756500,0.000000,1.000000,1
CogBench::BART,1.000000,0.500000,23.015000,0.500000,1.756500,0.000000,1.000000,1
