safety_precision,efe_mission,efe_intercept,chose_intercept,best_rv_frac
0.001,131.77358162793567,155.32099959849896,0,0.75
0.01,131.8617785362905,155.3544367663056,0,0.75
0.1,132.74374761983887,155.68880844437203,0,0.75
0.5,136.6636102133872,157.1749047913339,0,0.75
1,141.56343845532257,159.03252522503624,0,0.75
5,180.76206439080556,171.71814922455627,1,0.50
10,229.76034681015932,186.87451111050703,1,0.50
50,621.7466061649893,305.5493460697449,1,0.25
100,1111.729430358527,453.0941804204951,1,0.25
500,5031.592023906827,1633.4528552264971,1,0.25
1000,9931.420265842202,3108.9011987339995,1,0.25
5000,49130.0462013252,14912.487946794015,1,0.25
10000,98128.32862067896,29666.97138186904,1,0.25
