seed,condition,episode,standing_reward
0,transfer,0,0.217961
0,transfer,1,0.497717
0,transfer,2,0.273407
0,transfer,3,0.216839
0,transfer,4,0.639711
0,transfer,5,0.602519
0,transfer,6,0.502654
0,transfer,7,0.541335
0,transfer,8,0.259549
0,transfer,9,0.239515
0,transfer,10,0.266250
0,transfer,11,0.277885
0,transfer,12,0.646283
0,transfer,13,0.320700
0,transfer,14,0.218906
0,transfer,15,0.164037
0,transfer,16,0.318252
0,transfer,17,0.080615
0,transfer,18,0.473590
0,transfer,19,0.241432
0,transfer,20,0.058804
0,transfer,21,0.267039
0,transfer,22,0.402351
0,transfer,23,0.403413
0,transfer,24,0.414009
0,transfer,25,0.405580
0,transfer,26,0.405411
0,transfer,27,0.316867
0,transfer,28,0.319353
0,transfer,29,0.318748
1,transfer,0,0.233856
1,transfer,1,0.229021
1,transfer,2,0.217977
1,transfer,3,0.246110
1,transfer,4,0.606012
1,transfer,5,0.510880
1,transfer,6,0.567009
1,transfer,7,0.475473
1,transfer,8,0.249697
1,transfer,9,0.266668
1,transfer,10,0.337685
1,transfer,11,0.439454
1,transfer,12,0.639234
1,transfer,13,0.337143
1,transfer,14,0.335702
1,transfer,15,0.331722
1,transfer,16,0.337003
1,transfer,17,0.728309
1,transfer,18,0.635154
1,transfer,19,0.704390
1,transfer,20,0.813798
1,transfer,21,0.739001
1,transfer,22,0.452535
1,transfer,23,0.729512
1,transfer,24,0.707437
1,transfer,25,0.730631
1,transfer,26,0.708214
1,transfer,27,0.793244
1,transfer,28,0.619679
1,transfer,29,0.468734
2,transfer,0,0.251195
2,transfer,1,0.262067
2,transfer,2,0.390577
2,transfer,3,0.570335
2,transfer,4,0.652940
2,transfer,5,0.561089
2,transfer,6,0.562479
2,transfer,7,0.453866
2,transfer,8,0.400049
2,transfer,9,0.264195
2,transfer,10,0.316028
2,transfer,11,0.442279
2,transfer,12,0.512953
2,transfer,13,0.320050
2,transfer,14,0.347541
2,transfer,15,0.333062
2,transfer,16,0.448934
2,transfer,17,0.598460
2,transfer,18,0.684103
2,transfer,19,0.714265
2,transfer,20,0.817144
2,transfer,21,0.782227
2,transfer,22,0.704655
2,transfer,23,0.733965
2,transfer,24,0.717146
2,transfer,25,0.725124
2,transfer,26,0.691533
2,transfer,27,0.782350
2,transfer,28,0.613828
2,transfer,29,0.510314
0,random,0,0.245056
0,random,1,0.286581
0,random,2,0.199267
0,random,3,0.367469
0,random,4,0.725217
0,random,5,0.682051
0,random,6,0.636132
0,random,7,0.667713
0,random,8,0.350360
0,random,9,0.394111
0,random,10,0.459157
0,random,11,0.313989
0,random,12,0.560535
0,random,13,0.222714
0,random,14,0.366340
0,random,15,0.350908
0,random,16,0.398953
0,random,17,0.429332
0,random,18,0.870441
0,random,19,0.845365
0,random,20,0.860419
0,random,21,0.855947
0,random,22,0.779970
0,random,23,0.750082
0,random,24,0.755775
0,random,25,0.736032
0,random,26,0.738576
0,random,27,0.793148
0,random,28,0.597256
0,random,29,0.455360
1,random,0,0.245056
1,random,1,0.286581
1,random,2,0.199267
1,random,3,0.367469
1,random,4,0.725217
1,random,5,0.682051
1,random,6,0.636132
1,random,7,0.667713
1,random,8,0.350360
1,random,9,0.394111
1,random,10,0.459157
1,random,11,0.313989
1,random,12,0.560535
1,random,13,0.222714
1,random,14,0.366340
1,random,15,0.350908
1,random,16,0.398953
1,random,17,0.429332
1,random,18,0.870441
1,random,19,0.845365
1,random,20,0.860419
1,random,21,0.855947
1,random,22,0.779970
1,random,23,0.750082
1,random,24,0.755775
1,random,25,0.736032
1,random,26,0.738576
1,random,27,0.793148
1,random,28,0.597256
1,random,29,0.455360
2,random,0,0.245056
2,random,1,0.286581
2,random,2,0.199267
2,random,3,0.367469
2,random,4,0.725217
2,random,5,0.682051
2,random,6,0.636132
2,random,7,0.667713
2,random,8,0.350360
2,random,9,0.394111
2,random,10,0.459157
2,random,11,0.313989
2,random,12,0.560535
2,random,13,0.222714
2,random,14,0.366340
2,random,15,0.350908
2,random,16,0.398953
2,random,17,0.429332
2,random,18,0.870441
2,random,19,0.845365
2,random,20,0.860419
2,random,21,0.855947
2,random,22,0.779970
2,random,23,0.750082
2,random,24,0.755775
2,random,25,0.736032
2,random,26,0.738576
2,random,27,0.793148
2,random,28,0.597256
2,random,29,0.455360
