name,true_outcome,predicted_outcome,nearest_k,agreement_with_true,vote_for_accept,vote_for_reject
mathd_algebra_11,Rejected,Accepted,Accepted:0.258|Rejected:0.247|Accepted:0.243,false,2,1
mathd_algebra_141,Accepted,Accepted,Accepted:0.308|Rejected:0.292|Accepted:0.275,true,2,1
mathd_algebra_304,Accepted,Accepted,Accepted:0.359|Accepted:0.344|Accepted:0.333,true,3,0
mathd_algebra_24,Accepted,Accepted,Accepted:0.385|Accepted:0.376|Accepted:0.359,true,3,0
mathd_algebra_440,Accepted,Accepted,Accepted:0.385|Accepted:0.370|Accepted:0.348,true,3,0
mathd_algebra_119,Accepted,Accepted,Accepted:0.346|Accepted:0.297|Rejected:0.279,true,2,1
mathd_algebra_568,Accepted,Accepted,Rejected:0.315|Accepted:0.278|Accepted:0.275,true,2,1
mathd_algebra_142,Accepted,Accepted,Accepted:0.346|Rejected:0.335|Accepted:0.323,true,2,1
mathd_algebra_427,Accepted,Accepted,Accepted:0.264|Accepted:0.241|Rejected:0.236,true,2,1
mathd_algebra_126,Accepted,Accepted,Accepted:0.392|Rejected:0.335|Accepted:0.328,true,2,1
mathd_numbertheory_541,Rejected,Accepted,Accepted:0.303|Accepted:0.303|Accepted:0.286,false,3,0
mathd_algebra_410,Accepted,Accepted,Accepted:0.316|Accepted:0.308|Accepted:0.307,true,3,0
mathd_algebra_101,Accepted,Accepted,Accepted:0.345|Accepted:0.343|Rejected:0.310,true,2,1
mathd_algebra_55,Accepted,Accepted,Accepted:0.265|Accepted:0.237|Accepted:0.223,true,3,0
mathd_algebra_362,Rejected,Accepted,Accepted:0.375|Accepted:0.335|Accepted:0.335,false,3,0
mathd_algebra_107,Accepted,Accepted,Accepted:0.392|Accepted:0.326|Rejected:0.285,true,2,1
mathd_algebra_441,Accepted,Rejected,Accepted:0.347|Rejected:0.340|Rejected:0.319,false,1,2
mathd_algebra_267,Rejected,Rejected,Rejected:0.379|Rejected:0.364|Accepted:0.308,true,1,2
mathd_numbertheory_234,Rejected,Accepted,Accepted:0.315|Accepted:0.279|Accepted:0.275,false,3,0
mathd_algebra_123,Accepted,Rejected,Rejected:0.313|Rejected:0.286|Rejected:0.279,false,0,3
mathd_algebra_251,Rejected,Rejected,Rejected:0.507|Rejected:0.426|Accepted:0.421,true,1,2
mathd_algebra_400,Accepted,Rejected,Rejected:0.421|Rejected:0.386|Rejected:0.349,false,0,3
mathd_numbertheory_326,Accepted,Rejected,Rejected:0.392|Accepted:0.352|Rejected:0.351,false,1,2
mathd_numbertheory_1124,Accepted,Accepted,Accepted:0.370|Accepted:0.352|Rejected:0.344,true,2,1
mathd_algebra_354,Accepted,Accepted,Rejected:0.375|Accepted:0.326|Accepted:0.323,true,2,1
mathd_algebra_181,Rejected,Rejected,Rejected:0.458|Rejected:0.426|Accepted:0.392,true,1,2
mathd_algebra_176,Accepted,Accepted,Accepted:0.348|Accepted:0.327|Accepted:0.324,true,3,0
mathd_algebra_80,Rejected,Rejected,Rejected:0.507|Rejected:0.458|Accepted:0.386,true,1,2
mathd_algebra_478,Rejected,Accepted,Accepted:0.236|Accepted:0.234|Accepted:0.215,false,3,0
mathd_algebra_234,Accepted,Accepted,Accepted:0.348|Accepted:0.321|Rejected:0.302,true,2,1
mathd_algebra_432,Accepted,Accepted,Accepted:0.376|Accepted:0.348|Accepted:0.331,true,3,0
