step,time,drone_x,drone_y,drone_z,beam_x,beam_y,beam_z,human_danger,mission_progress,free_energy,tau_factor,position_error
0,0.0000,0.0000,0.0000,1.5000,2.0000,0.0000,4.0000,0.0000,0.3917,2.370833,1.0000,3.0414
1,0.0020,0.0000,0.0000,1.5000,2.0000,0.0000,4.0000,0.0000,0.3917,2.062247,1.0000,3.0414
2,0.0040,-0.0000,0.0000,1.5000,2.0000,0.0000,4.0000,0.0000,0.3917,2.062247,1.0000,3.0414
3,0.0060,-0.0000,0.0000,1.5000,2.0000,0.0000,3.9999,0.0000,0.3917,2.062247,1.0000,3.0414
4,0.0080,-0.0000,0.0000,1.5001,2.0000,0.0000,3.9999,0.0000,0.3917,2.062247,1.0000,3.0414
5,0.0100,-0.0000,0.0000,1.5001,2.0000,0.0000,3.9999,0.0000,0.3917,2.062247,1.0000,3.0414
6,0.0120,-0.0000,0.0000,1.5002,2.0000,0.0000,3.9999,0.0000,0.3917,2.062247,1.0000,3.0414
7,0.0140,-0.0000,0.0000,1.5003,2.0000,0.0000,3.9999,0.0000,0.3917,2.062247,1.0000,3.0414
8,0.0160,-0.0000,0.0000,1.5003,2.0000,0.0000,3.9998,0.0000,0.3917,2.062247,1.0000,3.0414
9,0.0180,-0.0000,0.0000,1.5004,2.0000,0.0000,3.9998,0.0000,0.3917,2.062247,1.0000,3.0415
10,0.0200,-0.0000,0.0000,1.5005,2.0000,0.0000,3.9998,0.0000,0.3917,2.062247,1.0000,3.0415
11,0.0220,-0.0000,0.0000,1.5007,2.0000,0.0000,3.9998,0.0000,0.3917,2.062247,1.0000,3.0415
12,0.0240,-0.0000,0.0000,1.5008,2.0000,0.0000,3.9998,0.0000,0.3917,2.062247,1.0000,3.0415
13,0.0260,-0.0000,0.0000,1.5009,2.0000,0.0000,3.9997,0.0000,0.3917,2.062247,1.0000,3.0415
14,0.0280,-0.0000,0.0000,1.5011,2.0000,0.0000,3.9997,0.0000,0.3917,2.062247,1.0000,3.0416
15,0.0300,-0.0000,0.0000,1.5012,2.0000,0.0000,3.9997,0.0000,0.3917,2.062247,1.0000,3.0416
16,0.0320,-0.0000,0.0000,1.5014,2.0000,0.0000,3.9997,0.0000,0.3917,2.062247,1.0000,3.0416
17,0.0340,-0.0000,0.0000,1.5015,2.0000,0.0000,3.9997,0.0000,0.3917,2.062247,1.0000,3.0416
18,0.0360,-0.0000,0.0000,1.5017,2.0000,0.0000,3.9996,0.0000,0.3917,2.062247,1.0000,3.0417
19,0.0380,-0.0000,0.0000,1.5019,2.0000,0.0000,3.9996,0.0000,0.3917,2.062247,1.0000,3.0417
20,0.0400,-0.0000,0.0000,1.5021,2.0000,0.0000,3.9996,0.0000,0.3917,2.062247,1.0000,3.0417
21,0.0420,-0.0000,0.0000,1.5023,2.0000,0.0000,3.9996,0.0000,0.3916,1.725368,1.0000,3.0418
22,0.0440,-0.0000,0.0000,1.5026,2.0000,0.0000,3.9996,0.0000,0.3916,1.725368,1.0000,3.0418
23,0.0460,-0.0000,0.0000,1.5028,2.0000,0.0000,3.9995,0.0000,0.3916,1.725368,1.0000,3.0418
24,0.0480,-0.0000,0.0000,1.5030,2.0000,0.0000,3.9995,0.0000,0.3916,1.725368,1.0000,3.0419
25,0.0500,-0.0000,0.0000,1.5033,2.0000,0.0000,3.9995,0.0000,0.3916,1.725368,1.0000,3.0419
26,0.0520,-0.0000,0.0000,1.5035,2.0000,0.0000,3.9995,0.0000,0.3916,1.725368,1.0000,3.0420
27,0.0540,-0.0000,0.0000,1.5038,2.0000,0.0000,3.9995,0.0000,0.3916,1.725368,1.0000,3.0420
28,0.0560,-0.0000,0.0000,1.5041,2.0000,0.0000,3.9995,0.0000,0.3916,1.725368,1.0000,3.0421
29,0.0580,-0.0000,0.0000,1.5044,2.0000,0.0000,3.9994,0.0000,0.3916,1.725368,1.0000,3.0421
30,0.0600,-0.0000,0.0000,1.5047,2.0000,0.0000,3.9994,0.0000,0.3916,1.725368,1.0000,3.0421
31,0.0620,-0.0000,0.0000,1.5050,2.0000,0.0000,3.9994,0.0000,0.3916,1.725368,1.0000,3.0422
32,0.0640,-0.0000,0.0000,1.5053,2.0000,0.0000,3.9994,0.0000,0.3915,1.725368,1.0000,3.0423
