task_id,num_train,num_test,intra_rule_consistency,predicted_correct,notes
0934a4d8,4,1,0.9172,0,no_generator
135a2760,2,1,0.4991,0,no_generator
136b0064,3,1,0.9539,0,no_generator
13e47133,3,2,0.7361,0,no_generator
142ca369,3,2,0.9696,0,no_generator
16b78196,2,1,0.9884,0,no_generator
16de56c4,3,2,0.8872,0,no_generator
1818057f,3,1,0.9569,0,no_generator
195c6913,3,2,0.7917,0,no_generator
1ae2feb7,3,3,0.9895,0,no_generator
20270e3b,4,2,0.8396,0,no_generator
20a9e565,3,2,0.8633,0,no_generator
21897d95,4,2,0.9059,0,no_generator
221dfab4,2,2,0.8722,0,no_generator
247ef758,3,2,0.9445,0,no_generator
269e22fb,5,2,0.8850,0,no_generator
271d71e2,3,1,0.8431,0,no_generator
28a6681f,3,1,0.9464,0,no_generator
291dc1e1,4,1,0.8514,0,no_generator
2b83f449,2,1,0.9239,0,no_generator
2ba387bc,4,1,0.9648,0,no_generator
2c181942,3,1,0.9459,0,no_generator
2d0172a1,4,2,0.7330,0,no_generator
31f7f899,3,1,0.8916,0,no_generator
332f06d7,4,1,0.9354,0,no_generator
35ab12c3,3,1,0.8983,0,no_generator
36a08778,6,2,0.8394,0,no_generator
38007db0,2,2,0.8373,0,no_generator
3a25b0d8,2,2,0.8672,0,no_generator
3dc255db,3,1,0.9735,0,no_generator
3e6067c3,3,2,0.8432,0,no_generator
409aa875,3,1,0.9958,0,no_generator
446ef5d2,2,2,0.8212,0,no_generator
45a5af55,2,1,0.9489,0,no_generator
4a21e3da,3,1,0.9992,0,no_generator
4c3d4a41,2,2,0.9992,0,no_generator
4c416de3,3,1,0.6943,0,no_generator
4c7dc4dd,2,2,0.9280,0,no_generator
4e34c42c,2,2,0.7791,0,no_generator
53fb4810,2,1,0.9839,0,no_generator
5545f144,3,1,0.6224,0,no_generator
581f7754,3,2,0.5761,0,no_generator
58490d8a,3,1,0.8462,0,no_generator
58f5dbd5,3,1,0.8194,0,no_generator
5961cc34,4,1,0.8175,0,no_generator
5dbc8537,2,2,0.7500,0,no_generator
62593bfd,2,2,0.6827,0,no_generator
64efde09,2,1,0.9766,0,no_generator
65b59efc,3,2,0.7780,0,no_generator
67e490f4,2,1,0.9063,0,no_generator
6e453dd6,3,1,0.9174,0,no_generator
6e4f6532,2,2,0.6228,0,no_generator
6ffbe589,3,1,0.9599,0,no_generator
71e489b6,3,2,0.9071,0,no_generator
7491f3cf,4,1,0.7996,0,no_generator
7666fa5d,2,1,0.9799,0,no_generator
78332cb0,3,2,0.9365,0,no_generator
7b0280bc,3,1,0.6488,0,no_generator
7b3084d4,3,1,0.9220,0,no_generator
7b5033c1,2,1,0.8676,0,no_generator
7b80bb43,2,1,0.5951,0,no_generator
7c66cb00,3,1,0.9192,0,no_generator
7ed72f31,2,2,0.6845,0,no_generator
800d221b,3,1,0.6697,0,no_generator
80a900e0,2,1,0.7184,0,no_generator
8698868d,2,1,0.7159,0,no_generator
88bcf3b4,5,2,0.6404,0,no_generator
88e364bc,3,2,0.9892,0,no_generator
89565ca0,3,1,0.8982,0,no_generator
898e7135,2,1,0.6549,0,no_generator
8b7bacbf,4,2,0.7280,0,no_generator
8b9c3697,3,1,0.7652,0,no_generator
8e5c0c38,2,2,0.7586,0,no_generator
8f215267,3,1,0.7586,0,no_generator
8f3a5a89,3,1,0.8459,0,no_generator
9385bd28,4,2,0.8203,0,no_generator
97d7923e,3,1,0.9660,0,no_generator
981571dc,4,1,0.9676,0,no_generator
9aaea919,3,1,0.7420,0,no_generator
9bbf930d,3,1,0.9559,0,no_generator
a251c730,2,1,0.8826,0,no_generator
a25697e4,3,2,0.9993,0,no_generator
a32d8b75,3,2,0.8874,0,no_generator
a395ee82,3,1,0.6719,0,no_generator
a47bf94d,3,1,0.9821,0,no_generator
a6f40cea,3,1,0.6758,0,no_generator
aa4ec2a5,3,1,0.8487,0,no_generator
abc82100,4,1,0.6556,0,no_generator
b0039139,4,2,0.6996,0,no_generator
b10624e5,2,1,0.9996,0,no_generator
b5ca7ac4,3,1,0.8514,0,no_generator
b6f77b65,5,2,0.9960,0,no_generator
b99e7126,3,1,0.9199,0,no_generator
b9e38dc0,3,1,0.6441,0,no_generator
bf45cf4b,3,1,0.7112,0,no_generator
c4d067a0,3,1,0.8112,0,no_generator
c7f57c3e,2,1,0.6206,0,no_generator
cb2d8a2c,4,2,0.9197,0,no_generator
cbebaa4b,2,2,0.9995,0,no_generator
d35bdbdc,3,3,0.9772,0,no_generator
d59b0160,3,1,0.9962,0,no_generator
d8e07eb2,5,2,0.9970,0,no_generator
da515329,3,1,0.7904,0,no_generator
db0c5428,3,1,0.8629,0,no_generator
db695cfb,5,1,0.6091,0,no_generator
dbff022c,3,1,0.8578,0,no_generator
dd6b8c4b,3,2,0.9650,0,no_generator
de809cff,2,1,0.8825,0,no_generator
dfadab01,4,1,0.8300,0,no_generator
e12f9a14,4,2,0.7180,0,no_generator
e3721c99,2,2,0.9970,0,no_generator
e376de54,3,1,0.9962,0,no_generator
e8686506,2,1,0.8912,0,no_generator
e87109e9,3,1,0.8964,0,no_generator
edb79dae,2,1,0.8704,0,no_generator
eee78d87,3,1,0.9795,0,no_generator
f560132c,2,1,0.9301,0,no_generator
f931b4a8,5,2,0.6325,0,no_generator
faa9f03d,4,1,0.9724,0,no_generator
fc7cae8d,3,1,0.8179,0,no_generator
