name_a,name_b,outcome_a,outcome_b,pair_kind,cosine_similarity
mathd_algebra_11,mathd_algebra_141,Rejected,Accepted,between,0.258179
mathd_algebra_11,mathd_algebra_304,Rejected,Accepted,between,0.239014
mathd_algebra_11,mathd_algebra_24,Rejected,Accepted,between,0.199951
mathd_algebra_11,mathd_algebra_440,Rejected,Accepted,between,0.190430
mathd_algebra_11,mathd_algebra_119,Rejected,Accepted,between,0.225098
mathd_algebra_11,mathd_algebra_568,Rejected,Accepted,between,0.174438
mathd_algebra_11,mathd_algebra_142,Rejected,Accepted,between,0.223389
mathd_algebra_11,mathd_algebra_427,Rejected,Accepted,between,0.140869
mathd_algebra_11,mathd_algebra_126,Rejected,Accepted,between,0.214478
mathd_algebra_11,mathd_numbertheory_541,Rejected,Rejected,within_reject,0.220093
mathd_algebra_11,mathd_algebra_410,Rejected,Accepted,between,0.243408
mathd_algebra_11,mathd_algebra_101,Rejected,Accepted,between,0.175903
mathd_algebra_11,mathd_algebra_55,Rejected,Accepted,between,0.211060
mathd_algebra_11,mathd_algebra_362,Rejected,Rejected,within_reject,0.239624
mathd_algebra_11,mathd_algebra_107,Rejected,Accepted,between,0.190674
mathd_algebra_11,mathd_algebra_441,Rejected,Accepted,between,0.187134
mathd_algebra_11,mathd_algebra_267,Rejected,Rejected,within_reject,0.156616
mathd_algebra_11,mathd_numbertheory_234,Rejected,Rejected,within_reject,0.247070
mathd_algebra_11,mathd_algebra_123,Rejected,Accepted,between,0.206665
mathd_algebra_11,mathd_algebra_251,Rejected,Rejected,within_reject,0.169922
mathd_algebra_11,mathd_algebra_400,Rejected,Accepted,between,0.176758
mathd_algebra_11,mathd_numbertheory_326,Rejected,Accepted,between,0.173584
mathd_algebra_11,mathd_numbertheory_1124,Rejected,Accepted,between,0.190552
mathd_algebra_11,mathd_algebra_354,Rejected,Accepted,between,0.226196
mathd_algebra_11,mathd_algebra_181,Rejected,Rejected,within_reject,0.174927
mathd_algebra_11,mathd_algebra_176,Rejected,Accepted,between,0.184326
mathd_algebra_11,mathd_algebra_80,Rejected,Rejected,within_reject,0.166748
mathd_algebra_11,mathd_algebra_478,Rejected,Rejected,within_reject,0.152222
mathd_algebra_11,mathd_algebra_234,Rejected,Accepted,between,0.209229
mathd_algebra_11,mathd_algebra_432,Rejected,Accepted,between,0.180176
mathd_algebra_141,mathd_algebra_304,Accepted,Accepted,within_accept,0.308472
mathd_algebra_141,mathd_algebra_24,Accepted,Accepted,within_accept,0.246948
mathd_algebra_141,mathd_algebra_440,Accepted,Accepted,within_accept,0.242798
mathd_algebra_141,mathd_algebra_119,Accepted,Accepted,within_accept,0.250610
mathd_algebra_141,mathd_algebra_568,Accepted,Accepted,within_accept,0.229492
mathd_algebra_141,mathd_algebra_142,Accepted,Accepted,within_accept,0.273071
mathd_algebra_141,mathd_algebra_427,Accepted,Accepted,within_accept,0.210571
mathd_algebra_141,mathd_algebra_126,Accepted,Accepted,within_accept,0.273193
mathd_algebra_141,mathd_numbertheory_541,Accepted,Rejected,between,0.240967
mathd_algebra_141,mathd_algebra_410,Accepted,Accepted,within_accept,0.275024
mathd_algebra_141,mathd_algebra_101,Accepted,Accepted,within_accept,0.222900
mathd_algebra_141,mathd_algebra_55,Accepted,Accepted,within_accept,0.189453
mathd_algebra_141,mathd_algebra_362,Accepted,Rejected,between,0.292236
mathd_algebra_141,mathd_algebra_107,Accepted,Accepted,within_accept,0.237915
mathd_algebra_141,mathd_algebra_441,Accepted,Accepted,within_accept,0.207520
mathd_algebra_141,mathd_algebra_267,Accepted,Rejected,between,0.234619
mathd_algebra_141,mathd_numbertheory_234,Accepted,Rejected,between,0.223511
mathd_algebra_141,mathd_algebra_123,Accepted,Accepted,within_accept,0.244385
mathd_algebra_141,mathd_algebra_251,Accepted,Rejected,between,0.233276
mathd_algebra_141,mathd_algebra_400,Accepted,Accepted,within_accept,0.214478
mathd_algebra_141,mathd_numbertheory_326,Accepted,Accepted,within_accept,0.219360
mathd_algebra_141,mathd_numbertheory_1124,Accepted,Accepted,within_accept,0.234619
mathd_algebra_141,mathd_algebra_354,Accepted,Accepted,within_accept,0.267822
mathd_algebra_141,mathd_algebra_181,Accepted,Rejected,between,0.218750
mathd_algebra_141,mathd_algebra_176,Accepted,Accepted,within_accept,0.255737
mathd_algebra_141,mathd_algebra_80,Accepted,Rejected,between,0.241333
mathd_algebra_141,mathd_algebra_478,Accepted,Rejected,between,0.188965
mathd_algebra_141,mathd_algebra_234,Accepted,Accepted,within_accept,0.211304
mathd_algebra_141,mathd_algebra_432,Accepted,Accepted,within_accept,0.249390
mathd_algebra_304,mathd_algebra_24,Accepted,Accepted,within_accept,0.358887
