name,stage,error_category,error_message,lake_check
mathd_numbertheory_136,translated,,,accepted
mathd_algebra_113,translated,,,accepted
mathd_algebra_410,translated,,,accepted
mathd_algebra_440,translated,,,accepted
mathd_algebra_234,translated,,,accepted
mathd_algebra_275,not_parsed,parse,"expected `)` closing parenthesized term, found "":"" at offset 134",not_run
mathd_numbertheory_234,translated,,,rejected
mathd_numbertheory_22,not_parsed,parse,"unknown character '.' at offset 154",not_run
mathd_algebra_11,translated,,,accepted
mathd_algebra_432,translated,,,accepted
mathd_algebra_37,translated,,,accepted
mathd_algebra_267,translated,,,rejected
mathd_numbertheory_296,not_parsed,parse,"unknown character '∃' at offset 157",not_run
mathd_algebra_107,translated,,,accepted
mathd_algebra_80,translated,,,rejected
mathd_algebra_188,not_parsed,parse,"unknown character 'σ' at offset 114",not_run
mathd_algebra_101,translated,,,accepted
mathd_algebra_126,translated,,,accepted
mathd_algebra_455,translated,,,accepted
mathd_algebra_598,not_parsed,parse,"expected `)` closing parenthesized term, found "":"" at offset 142",not_run
mathd_algebra_209,not_parsed,parse,"unknown character 'σ' at offset 114",not_run
mathd_algebra_129,translated,,,accepted
mathd_algebra_412,translated,,,accepted
mathd_algebra_392,not_parsed,parse,"expected relation operator (= ≠ < ≤ > ≥ ∣), found ""n"" at offset 138",not_run
mathd_algebra_513,translated,,,accepted
mathd_algebra_13,not_parsed,parse,"expected term (identifier, integer, or `(`), found ""∀"" at offset 132",not_run
mathd_algebra_10,not_parsed,parse,"expected relation operator (= ≠ < ≤ > ≥ ∣), found ""("" at offset 116",not_run
mathd_algebra_451,not_parsed,parse,"unknown character 'σ' at offset 112",not_run
mathd_numbertheory_690,not_parsed,parse,"unknown character '{' at offset 130",not_run
mathd_algebra_400,translated,,,accepted
mathd_algebra_176,translated,,,accepted
mathd_numbertheory_64,not_parsed,parse,"unknown character '{' at offset 125",not_run
mathd_algebra_247,not_translated,translate,"unsupported translation: non-literal exponent",not_run
mathd_algebra_137,not_parsed,parse,"unknown character '↑' at offset 133",not_run
mathd_algebra_104,translated,,,accepted
mathd_algebra_109,translated,,,accepted
mathd_numbertheory_43,not_parsed,parse,"unknown character '{' at offset 128",not_run
mathd_algebra_33,translated,,,lake_error
mathd_algebra_141,translated,,,accepted
mathd_algebra_44,translated,,,accepted
mathd_algebra_329,translated,,,accepted
mathd_numbertheory_541,translated,,,rejected
mathd_algebra_314,not_translated,translate,"unsupported translation: non-literal exponent",not_run
mathd_numbertheory_37,not_parsed,parse,"unknown character '.' at offset 120",not_run
mathd_algebra_323,not_parsed,parse,"unknown character 'σ' at offset 112",not_run
mathd_algebra_302,not_parsed,parse,"unknown character '.' at offset 123",not_run
mathd_algebra_144,not_parsed,parse,"expected `)` closing parenthesized term, found "":"" at offset 183",not_run
mathd_numbertheory_5,not_parsed,parse,"unknown character '∃' at offset 156",not_run
mathd_numbertheory_457,not_parsed,parse,"unknown character '!' at offset 166",not_run
mathd_algebra_59,not_parsed,parse,"expected `)` closing parenthesized term, found "":"" at offset 131",not_run
