domain,score,n_benchmarks,interpretation
Affect,0.534722,3,Average
Attention,0.957092,3,Average
Binding,0.739744,3,Average
Butlin,0.500000,1,Average
CausalReasoning,0.800595,3,Average
Clinical,2.392969,6,Exceptional
CogBench,0.603886,8,Average
Consciousness,0.691693,3,Average
Creativity,0.804999,3,Average
Executive,0.407052,7,Average
Inhibition,0.648374,3,Average
InstitutionalReasoning,2.248707,7,Exceptional
Language,1.557548,4,Strong
Mathematics,1.154687,8,Strong
MemoryAgent,0.645822,5,Average
Metacognition,0.533964,3,Average
Motor,2.123587,4,Exceptional
Reasoning,1.288792,11,Strong
Security,2.001438,6,Exceptional
Social,1.536529,6,Strong
Spatial,1.214583,4,Strong
Speech,2.128968,3,Exceptional
Substrate,0.426395,3,Average
SustainedAttention,2.194669,3,Exceptional
ToMBench,1.083333,5,Strong
WorM,0.728855,6,Average
