benchmark_a,metric_a,benchmark_b,metric_b,r,n,p_value,shared_mechanism
Executive::Stroop,incongruent_accuracy,Executive::WCST,categories_completed,-0.604956,10,0.031643,Strong
WorM::N-back,nback_2::accuracy,WorM::DigitSpan,forward_span,0.000000,10,1.000000,Independent
Executive::WCST,categories_completed,CogBench::ReversalLearning,win_stay_rate,-0.189422,10,0.585311,Weak
Inhibition::GoNoGo,nogo_accuracy,Inhibition::StopSignal,ssrt_ticks,0.369622,10,0.260535,Moderate
Social::RME,rme_accuracy,ToMBench::FalseBelief,false_belief_accuracy,0.000000,10,1.000000,Independent
Attention::VisualSearch,search_asymmetry,SustainedAttention::CPT,d_prime,0.000000,10,1.000000,Independent
Language::LexicalDecision,lexicality_effect,Language::SemanticPriming,priming_effect,0.681641,10,0.008415,Strong
Motor::FittsLaw,fitts_r_squared,Motor::Bimanual,coordination_cost,0.000000,10,1.000000,Independent
Metacognition::Calibration,calibration_error_ece,Metacognition::FeelingOfKnowing,fok_gamma,0.089469,10,0.799438,Independent
Reasoning::ArcFluid,transfer_accuracy,Executive::Ravens,overall_accuracy,-0.513553,10,0.090488,Strong
