benchmark,metric,mean,sd
DoseResponse,ach_monotonicity,1.000000,0.000000
DoseResponse,da_monotonicity,1.000000,0.000000
DoseResponse,extreme_saturation_finite,1.000000,0.000000
DoseResponse,gaba_monotonicity,1.000000,0.000000
DoseResponse,ne_monotonicity,1.000000,0.000000
DoseResponse,sht_monotonicity,1.000000,0.000000
Neuromod::YerkesDodson,inverted_u_fit_r2,0.618182,0.000000
Neuromod::YerkesDodson,peak_ne_level,0.900000,0.000000
Neuromod::YerkesDodson,simple_peak_shift,0.100000,0.000000
Neuromod::RewardLearning,da_reward_correlation,0.816658,0.051365
Neuromod::RewardLearning,lose_shift_ratio,2.745369,0.675917
Neuromod::RewardLearning,trials_to_criterion,40.000000,0.000000
Neuromod::AttentionNetwork,ach_orienting_r,0.257387,0.094616
Neuromod::AttentionNetwork,alerting_effect,0.652257,0.089339
Neuromod::AttentionNetwork,conflict_effect,2.511294,0.057600
Neuromod::AttentionNetwork,ne_alerting_r,0.652257,0.089339
Neuromod::AttentionNetwork,orienting_effect,0.257387,0.094616
Neuromod::MoodInduction,mood_congruent_bias,0.983333,0.027572
Neuromod::MoodInduction,risk_aversion_high_5ht,0.990000,0.019041
Neuromod::MoodInduction,risk_seeking_low_5ht,0.993333,0.017438
Neuromod::BehavioralKnockout,ach_ko_attention_d,5.409809,0.000000
Neuromod::BehavioralKnockout,ach_ko_threshold_d,-5.409813,0.000000
Neuromod::BehavioralKnockout,all_ko_consciousness_collapse_d,9.431319,0.000000
Neuromod::BehavioralKnockout,all_ko_lr_collapse_d,1.926034,0.000000
Neuromod::BehavioralKnockout,baseline_attention_mean,0.945044,0.000000
Neuromod::BehavioralKnockout,baseline_confidence_mean,0.012506,0.000000
Neuromod::BehavioralKnockout,baseline_consciousness_mean,0.952696,0.000000
Neuromod::BehavioralKnockout,baseline_exploration_mean,0.019860,0.000000
Neuromod::BehavioralKnockout,baseline_inhibition_mean,0.848855,0.000000
Neuromod::BehavioralKnockout,baseline_lr_mean,0.732565,0.000000
Neuromod::BehavioralKnockout,da_ko_gradient_d,2.136957,0.000000
Neuromod::BehavioralKnockout,da_ko_lr_d,1.926034,0.000000
Neuromod::BehavioralKnockout,gaba_ko_ei_d,-32.869673,0.000000
Neuromod::BehavioralKnockout,gaba_ko_inhibition_d,-10.663450,0.000000
Neuromod::BehavioralKnockout,ne_ko_exploration_d,7.251678,0.000000
Neuromod::BehavioralKnockout,ne_ko_flexibility_d,0.000000,0.000000
Neuromod::BehavioralKnockout,sht_ko_confidence_d,5.804539,0.000000
Neuromod::BehavioralKnockout,sht_ko_consciousness_d,-0.105755,0.000000
