benchmark,metric,agent_value,human_mean,human_sd,z_score,z_clamped,percentile,interpretation
WorM::N-back,nback_2::accuracy,0.829196,0.850000,0.100000,-0.208041,-0.208041,41.759870,Average
WorM::ChangeDetection,set_size_4::accuracy,0.850000,0.750000,0.150000,0.666667,0.666667,74.750753,Average
WorM::SerialRecall,list_7::primacy_index,0.300628,0.150000,0.060000,2.510466,2.510466,99.397139,Superior
WorM::SpatialUpdating,overall_accuracy,1.000000,0.850000,0.100000,1.500000,1.500000,93.319277,Above average
WorM::Binding,overall_binding_accuracy,0.716667,0.750000,0.120000,-0.277778,-0.277778,39.059154,Average
WorM::DigitSpan,forward_span,7.000000,6.800000,1.100000,0.181818,0.181818,57.213728,Average
CogBench::ProbabilisticReasoning,beta2_likelihood_weight,0.861052,0.500000,0.150000,2.407016,2.407016,99.195828,Superior
CogBench::HorizonTask,horizon_6::directed_exploration,0.325000,0.350000,0.120000,-0.208333,-0.208333,41.748438,Average
CogBench::RestlessBandit,overall_accuracy,0.716000,0.750000,0.100000,-0.340000,-0.340000,36.692833,Average
CogBench::InstrumentalLearning,contingency_sensitivity,0.800000,0.700000,0.150000,0.666667,0.666667,74.750753,Average
CogBench::TwoStep,beta3_model_basedness,0.605342,0.600000,0.200000,0.026710,0.026710,51.065459,Average
CogBench::TemporalDiscounting,discounting_score_S,0.543750,0.500000,0.150000,0.291667,0.291667,61.472919,Average
CogBench::BART,average_pumps,29.739709,30.000000,12.000000,-0.021691,-0.021691,49.134722,Average
CogBench::ReversalLearning,win_stay_rate,0.998556,0.850000,0.080000,1.856955,1.856955,96.834125,Above average
Executive::WCST,categories_completed,6.000000,5.620000,1.130000,0.336283,0.336283,63.167127,Average
Executive::Ravens,overall_accuracy,1.000000,0.780000,0.120000,1.833333,1.833333,96.662355,Above average
Executive::Stroop,incongruent_accuracy,0.891250,0.100000,0.050000,15.825000,3.000000,100.000000,Superior
Executive::Flanker,flanker_effect,0.073750,0.070000,0.040000,-0.093750,-0.093750,46.265381,Average
Executive::TowerOfLondon,overall_optimal_rate,0.665501,0.630000,0.150000,0.236674,0.236674,59.354527,Average
Executive::DualTask,dual_task_cost,0.100000,0.100000,0.050000,0.000000,0.000000,50.000000,Average
Metacognition::Calibration,calibration_error_ece,0.158596,0.150000,0.050000,-0.171925,-0.171925,43.174807,Average
Metacognition::FeelingOfKnowing,fok_gamma,0.701566,0.650000,0.100000,0.515660,0.515660,69.695407,Average
Metacognition::ChangeBlindness,detection_with_disruption,0.680000,0.450000,0.120000,1.916667,1.916667,97.235992,Above average
Butlin::ConsciousnessIndicators,mean_quality_score,0.867143,0.800000,0.100000,0.671430,0.671430,74.902668,Average
ToMBench::FalseBelief,false_belief_accuracy,1.000000,0.900000,0.100000,1.000000,1.000000,84.134474,Average
ToMBench::FauxPas,faux_pas_accuracy,1.000000,0.850000,0.120000,1.250000,1.250000,89.435016,Above average
ToMBench::Persuasion,persuasion_detection,1.000000,0.850000,0.120000,1.250000,1.250000,89.435016,Above average
ToMBench::StrangeStory,overall_accuracy,1.000000,0.850000,0.120000,1.250000,1.250000,89.435016,Above average
ToMBench::Hinting,hinting_accuracy,0.900000,0.800000,0.150000,0.666667,0.666667,74.750753,Average
MemoryAgent::AccurateRetrieval,overall_retrieval_accuracy,1.000000,0.850000,0.100000,1.500000,1.500000,93.319277,Above average
MemoryAgent::TestTimeLearning,correction_accuracy,0.750000,0.750000,0.150000,0.000000,0.000000,50.000000,Average
MemoryAgent::LongRange,delay_50::retention,0.700000,0.700000,0.150000,0.000000,0.000000,50.000000,Average
