benchmark,metric,icc,pearson_r,sem,practice_direction,practice_change_pct,reliability_class
Executive::Stroop,stroop_effect,-0.124228,-0.144021,0.016887,Stable,-0.115296,Poor
Executive::WCST,categories_completed,0.113150,0.170752,0.072098,Stable,0.626245,Poor
Executive::Flanker,flanker_effect,-0.060630,-0.065045,0.010953,Improvement,4.071247,Poor
Executive::IGT,overall_net_score,-0.101040,-0.082421,2.043783,Decline,-3.900205,Poor
WorM::N-back,nback_2::accuracy,0.229347,0.226233,0.016909,Stable,0.522392,Poor
WorM::ChangeDetection,set_size_4::accuracy,0.025816,0.010331,0.097916,Stable,-0.798403,Poor
WorM::DigitSpan,forward_span,0.000000,0.000000,0.000000,Stable,0.000000,Poor
Attention::VisualSearch,search_asymmetry,0.205864,0.201449,0.010168,Stable,-0.724861,Poor
ToMBench::FalseBelief,false_belief_accuracy,0.000000,0.000000,0.000000,Stable,0.000000,Poor
Motor::SRTT,learning_effect,-0.072893,-0.081478,0.003450,Improvement,3.186796,Poor
Language::LexicalDecision,lexicality_effect,-0.053783,-0.005052,0.009237,Stable,0.491549,Poor
Reasoning::ArcFluid,transfer_accuracy,-0.076166,-0.092918,0.025018,Stable,-0.087209,Poor
CogBench::TwoStep,beta3_model_basedness,0.271318,0.281470,0.054269,Decline,-3.263926,Poor
CogBench::BART,average_pumps,-0.131779,-0.152501,0.711825,Stable,0.092331,Poor
CogBench::ReversalLearning,win_stay_rate,-0.336730,-0.352352,0.000618,Stable,0.003091,Poor
Inhibition::StopSignal,ssrt_ticks,-0.178266,-0.186949,0.133067,Stable,1.766305,Poor
Metacognition::Calibration,calibration_error_ece,0.234399,0.232460,0.006724,Stable,1.092714,Poor
Neuromod::YerkesDodson,inverted_u_fit_r2,0.000000,0.000000,0.000000,Stable,0.000000,Poor
Neuromod::RewardLearning,trials_to_criterion,0.263877,0.250551,0.425574,Stable,-0.114204,Poor
