benchmark,time_pressure,accuracy,mean_rt,fit_asymptote,fit_rate,fit_intercept,fit_r_squared,human_like
Executive::Stroop,0.000000,0.850000,11.964597,1.232500,0.509000,10.169908,0.000000,0
Executive::Stroop,0.200000,0.806250,11.964597,1.232500,0.509000,10.169908,0.000000,0
Executive::Stroop,0.400000,0.756250,11.964597,1.232500,0.509000,10.169908,0.000000,0
Executive::Stroop,0.600000,0.701250,11.964597,1.232500,0.509000,10.169908,0.000000,0
Executive::Stroop,0.800000,0.673750,11.964597,1.232500,0.509000,10.169908,0.000000,0
Executive::Stroop,1.000000,0.641250,11.964597,1.232500,0.509000,10.169908,0.000000,0
WorM::N-back,0.000000,0.920019,5.533921,0.920019,4.950100,0.000000,1.000000,1
WorM::N-back,0.200000,0.920019,5.180193,0.920019,4.950100,0.000000,1.000000,1
WorM::N-back,0.400000,0.920019,4.810990,0.920019,4.950100,0.000000,1.000000,1
WorM::N-back,0.600000,0.920019,4.426311,0.920019,4.950100,0.000000,1.000000,1
WorM::N-back,0.800000,0.920019,4.026157,0.920019,4.950100,0.000000,1.000000,1
WorM::N-back,1.000000,0.920019,3.610526,0.920019,4.950100,0.000000,1.000000,1
Executive::WCST,0.000000,0.500000,4.952561,0.500000,4.950100,0.000000,1.000000,1
Executive::WCST,0.200000,0.500000,4.898480,0.500000,4.950100,0.000000,1.000000,1
Executive::WCST,0.400000,0.500000,4.659794,0.500000,4.950100,0.000000,1.000000,1
Executive::WCST,0.600000,0.500000,4.356688,0.500000,4.950100,0.000000,1.000000,1
Executive::WCST,0.800000,0.500000,4.168507,0.500000,4.950100,0.000000,1.000000,1
Executive::WCST,1.000000,0.500000,4.096627,0.500000,4.950100,0.000000,1.000000,1
Reasoning::ArcFluid,0.000000,0.537500,5.975833,0.537500,0.708600,0.394405,0.786937,1
Reasoning::ArcFluid,0.200000,0.525000,5.497767,0.537500,0.708600,0.394405,0.786937,1
Reasoning::ArcFluid,0.400000,0.510000,5.019700,0.537500,0.708600,0.394405,0.786937,1
Reasoning::ArcFluid,0.600000,0.497500,4.541633,0.537500,0.708600,0.394405,0.786937,1
Reasoning::ArcFluid,0.800000,0.495000,4.063567,0.537500,0.708600,0.394405,0.786937,1
Reasoning::ArcFluid,1.000000,0.490000,3.585500,0.537500,0.708600,0.394405,0.786937,1
Executive::Flanker,0.000000,0.956250,8.223178,0.918000,4.600800,0.000000,0.000000,0
Executive::Flanker,0.200000,0.940833,8.299607,0.918000,4.600800,0.000000,0.000000,0
Executive::Flanker,0.400000,0.923333,8.376036,0.918000,4.600800,0.000000,0.000000,0
Executive::Flanker,0.600000,0.905000,8.452465,0.918000,4.600800,0.000000,0.000000,0
Executive::Flanker,0.800000,0.890417,8.528894,0.918000,4.600800,0.000000,0.000000,0
Executive::Flanker,1.000000,0.876667,8.605324,0.918000,4.600800,0.000000,0.000000,0
Attention::VisualSearch,0.000000,0.853125,5.178197,0.801938,0.858300,0.051782,0.000000,0
Attention::VisualSearch,0.200000,0.827500,5.186493,0.801938,0.858300,0.051782,0.000000,0
Attention::VisualSearch,0.400000,0.799063,5.194790,0.801938,0.858300,0.051782,0.000000,0
Attention::VisualSearch,0.600000,0.774688,5.203086,0.801938,0.858300,0.051782,0.000000,0
Attention::VisualSearch,0.800000,0.756563,5.211382,0.801938,0.858300,0.051782,0.000000,0
Attention::VisualSearch,1.000000,0.739688,5.219679,0.801938,0.858300,0.051782,0.000000,0
CogBench::ReversalLearning,0.000000,0.500000,6.724652,0.500000,4.950100,0.000000,1.000000,1
CogBench::ReversalLearning,0.200000,0.500000,6.731263,0.500000,4.950100,0.000000,1.000000,1
CogBench::ReversalLearning,0.400000,0.500000,6.736044,0.500000,4.950100,0.000000,1.000000,1
CogBench::ReversalLearning,0.600000,0.500000,6.728608,0.500000,4.950100,0.000000,1.000000,1
CogBench::ReversalLearning,0.800000,0.500000,6.721276,0.500000,4.950100,0.000000,1.000000,1
CogBench::ReversalLearning,1.000000,0.500000,6.717384,0.500000,4.950100,0.000000,1.000000,1
CogBench::BART,0.000000,0.500000,24.002500,0.500000,1.756500,0.000000,1.000000,1
CogBench::BART,0.200000,0.500000,23.170000,0.500000,1.756500,0.000000,1.000000,1
CogBench::BART,0.400000,0.500000,23.937500,0.500000,1.756500,0.000000,1.000000,1
CogBench::BART,0.600000,0.500000,22.992500,0.500000,1.756500,0.000000,1.000000,1
CogBench::BART,0.800000,0.500000,23.587500,0.500000,1.756500,0.000000,1.000000,1
CogBench::BART,1.000000,0.500000,22.777500,0.500000,1.756500,0.000000,1.000000,1
