Attraction,Lambda,InitSeparation,FinalSeparation,DeltaSep,Finite
0.5,0,0.9000,-0.4860,-1.3860,true
0.5,0.01,0.9000,-0.4763,-1.3763,true
0.5,0.1,0.9000,-0.4469,-1.3469,true
0.5,0.5,0.9000,-0.4033,-1.3033,true
1,0,0.9000,-0.4931,-1.3931,true
1,0.01,0.9000,-0.4882,-1.3882,true
1,0.1,0.9000,-0.4735,-1.3735,true
1,0.5,0.9000,-0.4497,-1.3497,true
2,0,0.9000,-0.4966,-1.3966,true
2,0.01,0.9000,-0.4941,-1.3941,true
2,0.1,0.9000,-0.4868,-1.3868,true
2,0.5,0.9000,-0.4748,-1.3748,true
4,0,0.9000,-0.4983,-1.3983,true
4,0.01,0.9000,-0.4971,-1.3971,true
4,0.1,0.9000,-0.4934,-1.3934,true
4,0.5,0.9000,-0.4874,-1.3874,true
