step,phi,danger
0,0.106188,0.4753
1,0.106536,0.4930
2,0.105446,0.5103
3,0.104312,0.5271
4,0.103120,0.5432
5,0.127316,0.5588
6,0.125595,0.5737
7,0.123731,0.5880
8,0.121675,0.6015
9,0.119377,0.6142
10,0.116777,0.6262
11,0.113810,0.6374
12,0.111121,0.6477
13,0.111079,0.6571
14,0.111041,0.6657
15,0.111008,0.6733
16,0.110978,0.6800
17,0.110953,0.6858
18,0.110932,0.6906
19,0.110915,0.6944
20,0.110903,0.6973
21,0.110895,0.6991
22,0.110891,0.6999
23,0.110893,0.6998
24,0.110899,0.6986
25,0.110910,0.6965
26,0.110926,0.6933
27,0.110946,0.6892
28,0.110971,0.6841
29,0.110999,0.6780
30,0.111031,0.6710
31,0.111068,0.6631
32,0.111108,0.6543
33,0.111152,0.6445
34,0.111200,0.6340
35,0.111252,0.6225
36,0.111307,0.6103
37,0.111367,0.5973
38,0.111429,0.5836
39,0.111495,0.5691
40,0.111564,0.5540
41,0.111636,0.5382
42,0.111711,0.5219
43,0.111788,0.5050
44,0.113230,0.4875
45,0.114600,0.4696
46,0.115900,0.4513
47,0.117134,0.4326
48,0.118306,0.4136
49,0.119420,0.3943
50,0.120478,0.3747
51,0.121484,0.3550
52,0.122443,0.3351
53,0.123356,0.3152
54,0.124227,0.2952
55,0.125059,0.2752
56,0.125855,0.2553
57,0.126616,0.2355
58,0.127347,0.2158
59,0.128047,0.1964
60,0.128721,0.1772
61,0.129370,0.1583
62,0.129995,0.1398
63,0.130598,0.1217
64,0.131181,0.1040
65,0.131746,0.0868
66,0.132293,0.0702
67,0.132825,0.0541
68,0.133342,0.0386
69,0.133846,0.0238
70,0.134339,0.0097
71,0.134823,0.0000
72,0.135302,0.0000
73,0.135778,0.0000
74,0.136250,0.0000
75,0.136719,0.0000
76,0.137185,0.0000
77,0.137649,0.0000
78,0.138111,0.0000
79,0.138572,0.0000
80,0.139032,0.0000
81,0.139491,0.0000
82,0.139949,0.0000
83,0.140407,0.0000
84,0.140864,0.0000
85,0.141321,0.0000
86,0.141779,0.0000
87,0.142236,0.0000
88,0.142694,0.0000
89,0.143152,0.0000
90,0.143611,0.0000
91,0.144070,0.0000
92,0.144529,0.0000
93,0.144989,0.0000
94,0.144989,0.0000
95,0.144989,0.0000
96,0.144989,0.0000
97,0.144989,0.0000
98,0.144989,0.0000
99,0.144990,0.0000
100,0.144996,0.0049
101,0.145010,0.0188
102,0.145023,0.0334
103,0.145032,0.0486
104,0.145037,0.0645
105,0.145039,0.0809
106,0.145038,0.0979
107,0.145031,0.1154
108,0.145021,0.1334
109,0.145006,0.1518
110,0.144987,0.1706
111,0.144963,0.1896
112,0.144934,0.2090
113,0.144901,0.2286
114,0.144864,0.2483
115,0.144823,0.2682
116,0.144777,0.2882
117,0.144728,0.3082
118,0.144676,0.3282
119,0.144620,0.3481
120,0.144561,0.3678
121,0.144500,0.3875
122,0.144437,0.4069
123,0.144372,0.4260
124,0.144305,0.4448
125,0.144237,0.4633
126,0.144169,0.4813
127,0.144100,0.4989
128,0.142858,0.5160
129,0.141618,0.5326
130,0.140377,0.5485
131,0.139135,0.5639
132,0.137889,0.5786
133,0.136637,0.5926
134,0.135374,0.6058
135,0.134095,0.6183
136,0.132791,0.6301
137,0.131452,0.6409
138,0.130067,0.6510
139,0.128617,0.6601
140,0.127083,0.6684
141,0.125438,0.6757
142,0.123651,0.6821
143,0.121680,0.6875
144,0.119478,0.6920
145,0.116988,0.6955
146,0.114146,0.6980
147,0.110887,0.6995
148,0.110882,0.7000
149,0.110883,0.6995
150,0.110889,0.6980
151,0.110900,0.6955
152,0.110917,0.6921
153,0.110938,0.6876
154,0.110964,0.6822
155,0.110994,0.6758
156,0.111029,0.6685
157,0.111068,0.6602
158,0.111112,0.6511
159,0.111159,0.6411
160,0.111210,0.6302
161,0.111265,0.6185
162,0.111323,0.6060
163,0.111385,0.5928
164,0.111450,0.5788
